ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2465358;1155;24;2022/2023;complete;90927;1;-1;5;72,74;1;2;3;0;8;8;1;1;3;4;0;0;3;7;3;14;6;21;17;15;17;83;3;4;6.6;4.45;1.35;1.02;1.22;1.73;2.95;5.5;15;4.2;2;1.4;1.15;1.95;1.8;6.5;1.1;1.9;1.8;2.95;1.19;1.08;7;2.4;1.91;6.5;2.85;1.67;0;0;1.17;1.36;1.66;2.07;2.69;4.4;3.04;2.22;1.72;1.41;4.75;9;1.27;4;10.75;1.29;12;2.15;1.33;2.63;6.5;19;3.25;1.44;1.11;1.02;1.19;1.9;3.8;8.75;4.2;1.78;1.22;1.06;0;0;0;0;3;1;0;0;2;2;1;2022-07-30 11:00:00;24;0;0;0;0;0;1;1;0;4;0;4;4;4;2;3;1;1;5;2;1;12;90;50;159;0.68;2.47;3.15;0;0;0;0;0;0;1;1;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Livingston;Rangers;1.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7494;20;Y;Y;Y;N;N;N;Y
2465359;32;31;2022/2023;complete;90927;1;-1;59,77;79;2;1;3;4;2;6;0;3;1;2;0;0;4;5;12;8;16;13;6;15;60;40;1;2;1.47;4.05;5.45;1.04;1.28;1.81;3.2;6;12;3.75;1.89;1.35;1.12;1.95;1.8;2.15;1.63;5.25;1.14;1.14;1.24;2.35;2.1;2.25;6;1.83;2.65;5.5;0;0;1.14;1.32;1.57;1.98;2.65;4.8;3;2.15;1.68;1.4;1.27;9.5;4.8;1.36;9.6;3.4;2.45;9.5;1.36;2.75;8;21;3;1.4;1.08;1.02;1.21;1.98;4.1;9.75;4;1.71;1.2;1.05;0;0;0;0;3;0;0;2;1;3;0;2022-07-30 14:00:00;32;0;0;0;0;0;1;1;1;1;3;1;2;4;0;0;1;2;0;3;1;38;46;135;87;1.58;1.5;3.08;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hearts;Ross County;2.11;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7494;20;Y;Y;Y;N;N;N;Y
2465360;21;1018;2022/2023;complete;90927;1;-1;90;43;1;1;2;4;4;8;1;0;2;1;0;1;6;5;13;1;19;6;11;11;52;48;2;2;2.28;3.15;2.78;1.07;1.38;2.1;4;8;9;3;1.67;1.25;1.07;1.95;1.8;2.6;1.44;3.25;1.3;1.34;1.33;1.61;3;2.05;4;2.6;2.3;3.4;0;0;1.14;1.31;1.57;1.98;2.65;4.8;3;2.15;1.68;1.4;1.52;8;3.1;1.73;7.8;2.38;3.5;5;1.5;3.4;10;26;2.5;1.3;1.06;1.01;1.29;2.3;5.25;13.5;3.3;1.53;1.14;1.03;0;0;0;0;2;0;1;1;0;1;1;2022-07-30 14:00:00;-1;0;0;0;0;0;1;1;2;1;2;3;3;5;0;0;2;2;0;4;1;64;37;106;115;2.08;1.02;3.09;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Kilmarnock;Dundee United;1.8;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7494;20;Y;Y;N;N;N;N;Y
2465361;29;1017;2022/2023;complete;90927;1;-1;;90;0;1;1;3;9;12;1;4;2;4;1;0;2;2;3;12;5;14;12;15;32;68;4;4;3.01;2.85;2.33;1.09;1.5;2.3;4.75;9.5;7.5;2.6;1.57;1.18;1.05;2.1;1.67;2.9;1.37;2.5;1.47;1.53;1.36;1.36;4;1.95;3.25;3.25;2.2;2.75;0;0;1.19;1.31;1.57;1.98;2.65;4.4;3;2.15;1.68;1.4;2.43;7.5;1.8;2.38;6.9;1.83;4.33;3.6;1.57;3.75;11;26;2.25;1.25;1.05;1;1.33;2.5;6;15.5;3;1.46;1.11;1.02;0;0;0;0;1;0;0;0;1;1;0;2022-07-30 14:00:00;1017;0;0;0;0;0;1;1;2;4;1;5;6;6;0;1;3;3;1;6;1;15;54;68;119;0.58;1.42;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;St. Johnstone;Hibernian;1.1;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7494;21;Y;N;N;N;N;N;N
2465362;1019;30;2022/2023;complete;90927;1;-1;;42;0;1;1;8;2;10;1;0;4;4;0;1;5;3;8;5;13;8;9;11;49;51;4;6;2.28;3.28;2.59;1.11;1.45;2.08;4.53;7.75;7.25;2.82;1.64;1.22;1.07;1.95;1.8;2.8;1.39;3;1.35;1.43;1.33;1.5;3.25;2;3.5;2.75;2.3;3.1;0;0;1.18;1.24;1.44;1.8;2.27;4.3;3.5;2.6;1.9;1.56;1.5;8;3.15;1.83;7.4;2.2;3.9;4.5;1.5;3.4;10;26;2.5;1.3;1.06;1;1.29;2.3;5.25;13.5;3.3;1.53;1.14;1.03;0;0;0;0;1;0;1;0;0;0;1;2022-07-31 14:00:00;30;0;0;0;0;0;1;1;2;1;6;1;3;7;2;1;2;4;3;6;1;61;37;106;63;1.61;0.98;2.6;0;1;0;1;0;0;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;St. Mirren;Motherwell;2;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7494;19;Y;N;N;N;N;N;N
2465363;23;25;2022/2023;complete;90927;1;-1;3,75;;2;0;2;10;3;13;1;0;1;2;0;0;9;4;14;2;23;6;11;12;69;31;1;2;1.24;4.8;8.61;1.01;1.18;1.62;2.4;4.5;19;4.75;2.12;1.57;1.2;2;1.75;1.87;1.83;8;1.07;1.06;1.15;3.5;1.73;2.63;8;1.53;3.1;7.5;0;0;1.12;1.28;1.53;1.9;2.44;5.2;3.34;2.44;1.9;1.53;1.08;15;11;1.22;17.5;4.5;2.05;17;1.29;2.38;5.5;15;3.5;1.53;1.14;1.03;1.16;1.75;3.3;7.25;4.75;1.93;1.28;1.08;0;0;0;0;2;1;0;1;0;1;1;2022-07-31 15:30:00;23;0;0;0;0;0;1;1;5;0;5;3;5;8;0;1;1;1;1;2;1;82;14;150;75;2.68;0.77;3.45;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Celtic;Aberdeen;3;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7494;21;Y;Y;N;N;N;N;N
2465364;25;1019;2022/2023;complete;90927;2;-1;24,37,45,87;53;4;1;5;4;4;8;0;1;1;3;0;1;5;3;1;0;6;3;12;15;75;25;1;4;1.97;3.28;3.87;1.08;1.4;2.15;4.2;8;8.5;2.95;1.63;1.22;1.07;1.95;1.8;2.35;1.53;3.6;1.26;1.25;1.32;1.78;2.63;2.05;4.5;2.3;2.35;4;0;0;1.18;1.3;1.62;2;2.4;4.3;3.2;2.2;1.8;1.5;1.64;8.5;2.66;1.62;7.5;2.75;3;5.8;1.44;3.25;10;26;2.63;1.33;1.06;1.01;1.28;2.3;5;13;3.3;1.55;1.14;1.03;0;0;0;0;5;3;0;1;1;2;3;2022-08-06 14:00:00;25;0;0;0;0;0;1;1;3;2;1;2;5;3;0;2;1;2;2;3;1;4;2;9;7;0.75;0.41;1.16;1;1;1;1;0;0;1;1;0;0;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Aberdeen;St. Mirren;2;0.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7494;19;Y;Y;Y;Y;Y;N;Y
2465365;1018;1155;2022/2023;complete;90927;2;-1;;49;0;1;1;9;4;13;1;0;2;3;0;0;5;4;8;6;13;10;11;14;62;38;2;3;2.45;3;3;1.09;1.47;2.4;4.75;9.5;8;2.7;1.57;1.18;1.05;2;1.75;2.5;1.46;2.95;1.36;1.36;1.36;1.55;3.25;1.95;3.75;2.75;2.25;3.25;0;0;1.2;1.32;1.62;2.04;2.66;4.25;2.98;2.19;1.74;1.43;1.91;8;2.1;1.83;6.9;2.3;3.6;4.5;1.53;3.5;11;29;2.38;1.29;1.05;1.01;1.32;2.4;5.75;14.5;3.1;1.49;1.12;1.02;0;0;0;0;1;0;0;0;1;1;0;2022-08-07 14:00:00;1155;0;0;0;0;0;1;1;2;4;7;0;6;7;0;0;2;3;0;5;1;45;47;110;100;1.5;1.26;2.76;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Dundee United;Livingston;1.18;1.1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7494;20;Y;N;N;N;N;N;N
2465366;1017;32;2022/2023;complete;90927;2;-1;90;22;1;1;2;7;9;16;3;2;3;1;0;0;3;5;7;5;10;10;18;13;57;43;3;1;2.63;3;2.8;1.08;1.42;2.23;4.33;8.5;8;2.9;1.66;1.22;1.06;1.95;1.8;2.8;1.39;2.87;1.37;1.43;1.35;1.47;3.4;2;3.5;2.88;2.25;3;0;0;1.18;1.33;1.58;1.95;2.63;4.6;3.15;2.25;1.85;1.45;1.95;8;2.1;1.91;7.6;2.2;4;4.33;1.5;3.4;10;26;2.5;1.3;1.06;1.01;1.3;2.35;5.25;13.5;3.25;1.52;1.13;1.02;0;0;0;0;2;0;1;1;0;1;1;2022-08-07 11:00:00;-1;0;0;0;0;0;1;1;3;4;4;5;7;9;1;0;2;1;1;3;1;54;47;73;67;1.23;1.32;2.55;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Hibernian;Hearts;1.7;1.18;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;7494;20;Y;Y;N;N;N;N;Y
2465367;30;29;2022/2023;complete;90927;2;-1;90;28,90;1;2;3;4;6;10;1;0;1;3;0;0;2;3;1;2;3;5;17;9;57;43;1;3;2.34;3.02;3.2;1.09;1.47;2.35;4.75;9.5;7.5;2.7;1.53;1.18;1.05;2;1.75;2.4;1.51;3;1.34;1.33;1.36;1.6;3.1;2;4;2.75;2.2;3.4;0;0;1.19;1.36;1.62;2;2.4;4.35;2.95;2.2;1.8;1.5;1.85;7;2.4;1.8;7;2.38;3.4;4.75;1.53;3.5;11;29;2.38;1.29;1.05;0;1.32;2.45;5.75;15;3.1;1.47;1.11;1.02;0;0;0;0;3;0;1;1;1;2;1;2022-08-06 14:00:00;29;0;0;0;0;0;1;1;0;3;4;3;3;7;0;2;1;1;2;2;1;1;5;13;14;0.34;0.56;0.9;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Motherwell;St. Johnstone;0.56;1.18;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;7494;20;Y;Y;Y;N;N;N;Y
