ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2449423;1938;673398;2022/2023;complete;90914;1;-1;90,90;;2;0;2;4;0;4;-1;-1;-1;-1;-1;-1;9;0;2;3;11;3;-1;-1;72;28;-1;-1;1.4;4.2;6.5;1.01;1.22;1.75;2.8;5.2;11.0;3.8;2.05;1.38;1.13;1.94;1.82;0;0;0;0;1.07;1.19;2.7;1.91;2.38;6.5;1.71;3.0;5.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.29;11.0;4.0;0;0;1.31;2.46;5.8;0;3.1;1.48;1.1;0.0;1.18;1.92;3.9;9.5;4.3;1.78;1.22;1.04;0;0;0;0;2;0;0;2;0;2;0;2022-07-30;1938;0;0;0;0;0;1;-1;1;0;3;0;1;3;-1;-1;-1;-1;-1;-1;1;91;29;129;80;1.99;0.41;2.4;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Metalac GM;Radnički Novi Beograd;1.56;0.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;Y;N;N;N;N;N
2449424;673411;1944;2022/2023;complete;90914;1;-1;;;0;0;0;3;1;4;-1;-1;-1;-1;-1;-1;4;3;4;3;8;6;-1;-1;50;50;-1;-1;1.85;3.4;3.5;1.06;1.39;2.25;4.1;7.8;7.5;2.75;1.62;1.2;1.05;2.0;1.77;0;0;0;0;1.25;1.25;1.73;2.6;2.0;4.5;2.3;2.3;3.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62;7.5;2.75;0;0;1.45;3.1;8.3;0;2.55;1.32;1.04;0.0;1.29;2.35;5.4;12.0;3.3;1.52;1.12;1.02;0;0;0;0;0;0;0;0;0;0;0;2022-07-30;-1;0;0;0;0;0;1;-1;0;0;3;1;0;4;-1;-1;-1;-1;-1;-1;1;93;45;124;86;1.46;0.92;2.39;0;0;0;0;0;0;1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Radnički Sr. Mitrovica;Sloboda Užice;2.2;0.9;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;N;N;N;N;N;N;N
2449422;1953;673412;2022/2023;complete;90914;1;-1;;4;0;1;1;6;2;8;-1;-1;-1;-1;-1;-1;7;5;6;6;13;11;-1;-1;60;40;-1;-1;1.4;4.0;7.0;1.04;1.24;1.7;2.78;5.1;12.0;3.5;2.1;1.35;1.12;2.0;1.77;0;0;0;0;1.08;1.17;2.4;1.91;2.38;6.0;1.73;2.9;5.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.29;14.0;4.0;0;0;1.35;2.64;5.85;0;2.49;1.29;1.1;0.0;1.19;1.96;4.0;0.0;4.2;1.76;1.2;0.0;0;0;0;0;1;0;1;0;0;0;1;2022-07-30;673412;0;0;0;0;0;1;-1;5;0;1;2;5;3;-1;-1;-1;-1;-1;-1;1;73;67;126;106;1.84;1.53;3.38;-1;-1;-1;-1;-1;-1;-1;1;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Inđija;OFK Vršac;1.33;0.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;N;N;N;N;N;N
2449427;673397;15956;2022/2023;complete;90914;1;-1;45,58,83,90;57;4;1;5;6;2;8;-1;-1;-1;-1;-1;-1;10;3;7;2;17;5;-1;-1;50;50;-1;-1;1.52;3.8;5.0;1.04;1.22;1.66;2.6;5.1;11.0;3.9;2.05;1.43;1.12;1.75;1.95;0;0;0;0;1.14;1.23;2.35;2.25;2.26;4.66;1.86;2.9;4.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.45;14.0;2.8;0;0;1.37;2.66;6.15;0;2.85;1.42;1.09;0.0;1.22;2.1;4.4;0.0;3.8;1.66;1.17;0.0;0;0;0;0;5;1;0;3;1;4;1;2022-07-30;673397;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;2.27;0.82;3.09;-1;-1;-1;-1;-1;-1;-1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;IMT Novi Beograd;Novi Sad;2.6;0.89;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;Y;Y;Y;Y;N;Y
2449425;1929;667981;2022/2023;complete;90914;1;-1;20,76;10,26;2;2;4;9;3;12;-1;-1;-1;-1;-1;-1;7;8;4;7;11;15;-1;-1;50;50;-1;-1;2.8;3.0;2.38;1.09;1.51;2.35;4.1;7.8;6.9;2.4;1.57;1.18;1.05;1.95;1.75;0;0;0;0;1.53;1.3;1.3;3.5;1.95;3.2;3.1;2.25;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3;7.25;1.91;0;0;1.53;3.6;8.4;0;2.17;1.23;1.04;0.0;1.31;2.55;6.15;12.0;3.1;1.41;1.09;1.02;0;0;0;0;4;1;2;1;0;1;3;2022-07-31;-1;0;0;0;0;0;1;-1;3;1;6;2;4;8;-1;-1;-1;-1;-1;-1;1;84;82;104;130;1.79;2.1;3.89;-1;-1;-1;-1;-1;-1;-1;1;0;1;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Mačva Šabac;Grafičar;1.7;1.7;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;Y;Y;Y;N;N;Y
2665855;1960;673425;2022/2023;complete;90914;1;-1;58;30,64,85;1;3;4;5;2;7;-1;-1;-1;-1;-1;-1;5;7;6;3;11;10;-1;-1;49;51;-1;-1;1.85;3.2;3.8;1.06;1.38;2.2;4.05;8.75;8.5;2.75;1.65;1.2;1.06;1.95;1.73;0;0;0;0;1.24;1.31;1.8;2.6;2.05;4.33;2.35;2.42;3.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57;8.25;2.88;0;0;1.5;3.1;8.2;0;2.22;1.33;1.04;0.0;1.28;2.34;5.4;12.0;3.3;1.53;1.12;1.02;0;0;0;0;4;0;1;1;2;3;1;2022-07-31;673425;0;0;0;0;0;1;-1;3;1;2;1;4;3;-1;-1;-1;-1;-1;-1;1;74;48;87;87;1.58;1.47;3.05;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Loznica;Jedinstvo Ub;0.8;1.2;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;Y;Y;Y;N;N;Y
2449426;1928;10050;2022/2023;complete;90914;1;-1;21;69,78;1;2;3;3;4;7;-1;-1;-1;-1;-1;-1;6;6;7;3;13;9;-1;-1;50;50;-1;-1;1.91;3.2;3.75;1.06;1.44;2.4;4.5;7.8;7.2;2.6;1.53;1.17;1.05;2.09;1.7;0;0;0;0;1.17;1.25;1.83;2.63;1.95;4.5;2.25;2.3;4.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62;7.75;2.88;0;0;1.48;3.2;8.9;0;2.47;1.29;1.03;0.0;1.31;2.47;5.9;12.0;3.1;1.48;1.1;1.02;0;0;0;0;3;1;0;0;2;2;1;2022-08-01;10050;0;0;0;0;0;1;-1;2;3;1;1;5;2;-1;-1;-1;-1;-1;-1;1;70;55;119;107;1.75;1.4;3.15;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Rad Beograd;Trajal Krusevac;1.0;0.7;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;Y;Y;N;N;N;Y
2449428;673437;10048;2022/2023;complete;90914;1;-1;;25,67;0;2;2;10;1;11;-1;-1;-1;-1;-1;-1;10;6;17;4;27;10;-1;-1;63;37;-1;-1;1.5;3.5;7.0;1.09;1.5;2.35;4.8;11.0;7.25;2.45;1.57;1.16;1.04;2.45;1.46;0;0;0;0;1.12;1.28;2.1;2.1;2.0;7.0;1.84;2.44;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.33;7.0;4.75;0;0;1.54;3.4;9.6;0;2.31;1.27;1.02;0.0;1.34;2.6;6.3;13.0;3.0;1.44;1.08;1.02;0;0;0;0;2;0;1;0;1;1;1;2022-08-01;10048;0;0;0;0;0;1;-1;4;1;6;0;5;6;-1;-1;-1;-1;-1;-1;1;88;39;112;76;3.02;1.34;4.36;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Železničar Pančevo;Zlatibor Čajetina;2.4;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;Y;N;N;N;N;N
2449429;673412;10048;2022/2023;complete;90914;2;-1;20,37,65;61;3;1;4;6;8;14;-1;-1;-1;-1;-1;-1;4;2;0;0;4;2;-1;-1;50;50;-1;-1;1.91;3.2;3.6;1.09;1.45;2.35;4.4;8.4;6.65;2.43;1.57;1.16;1.04;2.0;1.72;0;0;0;0;1.29;1.29;1.6;2.63;1.95;4.5;2.45;2.3;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62;7.5;2.88;0;0;1.54;3.44;8.4;0;2.17;1.25;1.04;0.0;1.31;2.46;5.85;0.0;3.1;1.44;1.1;0.0;0;0;0;0;4;2;0;1;1;2;2;2022-08-05;673412;0;0;0;0;0;1;-1;4;2;2;6;6;8;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0.0;0.0;0.0;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;50;50;0;50;50;0;1.0;0;0;1.0;OFK Vršac;Zlatibor Čajetina;1.89;0.56;0.0;3.0;3.0;3.0;50;50;50;0;0;50;50;50;0.0;1.34;1.34;7493;19;Y;Y;Y;Y;N;N;Y
2449434;673398;673411;2022/2023;complete;90914;2;-1;75;;1;0;1;2;9;11;-1;-1;-1;-1;-1;-1;3;3;7;9;10;12;-1;-1;43;57;-1;-1;2.15;3.1;3.0;1.07;1.38;2.4;4.0;8.25;8.25;2.8;1.53;1.21;1.06;1.94;1.82;0;0;0;0;1.32;1.34;1.58;3.0;1.91;4.0;2.62;2.4;3.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;8.0;2.38;0;0;1.46;3.14;8.1;0;2.44;1.15;1.04;0.0;1.28;2.32;5.3;12.0;3.3;1.54;1.12;1.02;0;0;0;0;1;0;0;1;0;1;0;2022-08-06;673398;0;0;0;0;0;1;-1;1;4;1;5;5;6;-1;-1;-1;-1;-1;-1;1;58;76;91;112;1.26;1.52;2.78;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Radnički Novi Beograd;Radnički Sr. Mitrovica;1.78;0.78;0.0;0.0;0.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7493;19;Y;N;N;N;N;N;N
