ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2447550;1927;1939;2022/2023;complete;90908;1;-1;43;;1;0;1;2;3;5;1;1;1;0;0;0;4;7;5;9;9;16;13;12;52;48;1;0;1.69;3.8;4.9;1.07;1.36;2.03;3.73;7.2;9.9;3.08;1.67;1.26;1.09;2.05;1.7;0;0;0;0;1.17;1.27;2.15;2.25;2.1;5.0;1.95;2.5;4.9;0;0;0.0;1.8;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.44;10.0;3.2;0;0;1.45;3.0;7.0;23.0;2.6;1.35;1.07;1.01;1.25;2.25;5.5;11.0;3.5;1.57;1.12;1.02;0;0;0;0;1;1;0;0;0;0;1;2022-07-08;1927;0;0;0;0;0;1;1;1;0;1;3;1;4;0;0;1;0;0;1;1;54;52;117;110;1.25;1.88;3.13;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Voždovac;Novi Pazar;2.0;1.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;N;N;N;N;N;N
2447547;13002;1934;2022/2023;complete;90908;1;-1;70;40;1;1;2;4;5;9;1;0;0;0;0;0;3;2;0;3;3;5;8;8;43;57;0;0;2.2;3.1;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.75;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;2;0;1;1;0;1;1;2022-07-09;-1;0;0;0;0;0;1;-1;4;2;0;3;6;3;0;0;0;0;0;0;1;0;0;0;0;0.95;0.97;1.93;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Mladost Lučani;Spartak Subotica;1.5;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;Y;N;N;N;N;Y
2447551;1937;1950;2022/2023;complete;90908;1;-1;53;35,56,61,90;1;4;5;5;5;10;1;2;2;5;1;0;6;8;7;1;13;9;8;8;57;43;4;5;1.85;3.2;3.8;1.07;1.33;2.05;3.5;6.75;9.9;3.27;1.7;1.29;1.1;1.85;1.85;0;0;0;0;1.23;1.32;1.82;2.5;2.05;4.5;2.2;2.45;4.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.62;10.0;2.55;0;0;1.42;2.9;6.75;23.0;2.65;1.35;1.07;1.01;1.22;2.25;5.0;10.5;3.74;1.57;1.14;1.02;0;0;0;0;5;0;1;1;3;4;1;2022-07-09;1950;0;0;0;0;0;1;1;4;2;1;3;6;4;0;2;3;3;2;6;1;78;44;136;81;1.81;1.45;3.26;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Čukarički;Bačka Topola;2.0;2.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;Y;Y;Y;Y;N;Y
2447552;1926;957;2022/2023;complete;90908;1;-1;;21,68,77,90;0;4;4;1;3;4;1;1;0;0;0;0;3;10;4;7;7;17;17;10;42;58;0;0;10.0;5.0;1.25;1.03;1.21;1.6;2.61;4.62;17.25;4.33;2.2;1.48;1.19;2.1;1.65;0;0;0;0;3.6;1.14;1.07;9.0;2.5;1.67;8.0;3.1;1.52;0;0;0.0;1.83;0.0;0.0;0.0;0.0;1.98;0.0;0.0;0.0;0.0;0.0;0.0;5.5;17.0;1.17;0;0;1.3;2.4;5.25;17.0;3.25;1.52;1.12;1.03;1.14;1.8;3.74;8.5;5.0;1.91;1.22;1.05;0;0;0;0;4;0;1;0;3;3;1;2022-07-09;957;0;0;0;0;0;1;-1;0;3;1;0;3;1;0;0;0;0;0;0;1;45;68;120;118;1.0;2.27;3.26;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Javor Ivanjica;Partizan;1.0;2.44;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;Y;Y;Y;N;N;N
2447545;70;1935;2022/2023;complete;90908;1;-1;3,25,31,47;;4;0;4;5;4;9;3;1;2;1;0;0;9;5;8;6;17;11;12;11;58;42;2;1;1.16;6.2;12.0;1.02;1.16;1.4;2.35;3.85;22.5;5.1;2.75;1.58;1.25;2.38;1.53;0;0;0;0;1.04;1.1;4.6;1.53;2.75;10.0;1.4;3.5;9.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.14;22.0;5.5;0;0;1.25;2.2;5.0;13.0;3.75;1.62;1.17;1.04;1.14;1.73;3.4;8.0;5.5;2.0;1.3;1.08;0;0;0;0;4;3;0;1;0;1;3;2022-07-10;70;0;0;0;0;0;1;1;2;4;3;0;6;3;2;1;0;0;3;0;1;71;48;123;83;2.22;1.39;3.61;1;0;1;0;0;0;1;1;1;0;1;2;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Red Star Belgrade;Radnički Niš;2.78;0.8;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;Y;Y;Y;N;N;N
2447548;1924;686821;2022/2023;complete;90908;1;-1;81;16,55;1;2;3;5;6;11;1;1;1;1;1;0;2;4;7;11;9;15;14;13;50;50;2;1;1.94;3.3;3.55;1.07;1.36;2.1;3.73;7.2;9.9;3.08;1.67;1.26;1.09;1.88;1.82;0;0;0;0;1.28;1.3;1.75;2.6;2.05;4.33;2.3;2.45;3.75;0;0;0.0;2.0;0.0;0.0;0.0;0.0;1.8;0.0;0.0;0.0;0.0;0.0;0.0;1.62;10.0;2.63;0;0;1.45;3.0;7.0;26.0;2.55;1.35;1.07;1.01;1.25;2.25;5.0;11.0;3.5;1.57;1.14;1.02;0;0;0;0;3;0;1;1;1;2;1;2022-07-10;686821;0;0;0;0;0;1;1;2;4;3;2;6;5;1;0;1;1;1;2;1;38;41;86;86;0.99;1.52;2.51;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Radnik Surdulica;Mladost Novi Sad;0.7;0.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;Y;Y;N;N;N;Y
2447549;1933;1932;2022/2023;complete;90908;1;-1;55;;1;0;1;7;2;9;1;4;1;1;0;0;9;3;7;5;16;8;10;16;60;40;1;1;1.77;3.25;4.4;1.08;1.39;2.15;3.97;7.75;8.95;2.94;1.62;1.24;1.07;2.0;1.72;0;0;0;0;1.2;1.3;1.95;2.4;2.0;4.75;2.15;2.4;4.4;0;0;0.0;1.95;0.0;0.0;0.0;0.0;1.85;0.0;0.0;0.0;0.0;0.0;0.0;1.53;9.0;3.0;0;0;1.48;3.1;7.25;26.0;2.5;1.32;1.06;1.01;1.29;2.38;5.5;12.0;3.24;1.53;1.12;1.02;0;0;0;0;1;0;0;1;0;1;0;2022-07-10;1933;0;0;0;0;0;1;1;4;1;3;1;5;4;1;1;0;0;2;0;1;89;53;148;91;2.29;1.1;3.39;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Vojvodina;Napredak;2.0;0.4;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;N;N;N;N;N;N
2447546;1957;1942;2022/2023;complete;90908;1;-1;17;25;1;1;2;2;5;7;5;7;1;3;0;0;7;4;4;2;11;6;17;20;52;48;1;3;2.35;3.1;3.0;1.06;1.32;2.0;3.45;6.7;10.0;3.3;1.75;1.3;1.1;1.75;1.95;0;0;0;0;1.35;1.35;1.58;2.88;2.05;3.6;2.55;2.45;3.3;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.73;10.0;2.38;0;0;1.42;2.9;6.75;23.0;2.65;1.38;1.08;1.01;1.25;2.1;5.0;13.0;3.74;1.67;1.17;1.04;0;0;0;0;2;1;1;0;0;0;2;2022-07-11;-1;0;0;0;0;0;1;1;1;1;1;4;2;5;0;0;1;3;0;4;1;67;51;117;99;1.68;1.04;2.71;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Kolubara;Radnički Kragujevac;1.67;1.2;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;Y;N;N;N;N;Y
2447553;1935;957;2022/2023;complete;90908;2;-1;2,50,54;13,71,90;3;3;6;6;8;14;2;2;5;6;0;0;6;7;4;9;10;16;19;13;50;50;5;6;13.0;5.2;1.22;1.03;1.17;1.67;2.75;5.5;13.0;4.5;2.1;1.4;1.11;2.4;1.52;0;0;0;0;3.74;1.1;1.03;10.0;2.5;1.62;9.75;3.1;1.45;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;15.0;1.22;0;0;1.32;2.45;5.5;22.0;3.15;1.48;1.11;1.01;1.14;1.83;3.74;9.5;5.0;1.83;1.22;1.04;0;0;0;0;6;1;1;2;2;4;2;2022-07-15;-1;0;0;0;0;0;1;1;1;6;5;2;7;7;1;1;4;5;2;9;1;64;60;79;85;1.51;1.93;3.44;0;2;0;2;0;0;1;1;1;0;0;1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;50;50;50;0;50;50;50;3.0;1.0;0.0;2.0;Radnički Niš;Partizan;1.0;2.44;0.0;3.0;0.0;3.0;50;0;0;0;0;0;0;0;0.0;2.27;2.27;7492;19;Y;Y;Y;Y;Y;Y;Y
2447558;1934;1924;2022/2023;complete;90908;2;-1;20,49;;2;0;2;3;6;9;0;2;1;2;0;0;8;6;9;6;17;12;15;12;50;50;1;2;2.25;3.0;2.87;1.05;1.29;2.05;3.6;7.5;9.0;3.3;1.7;1.25;1.06;1.78;1.9;0;0;0;0;1.33;1.29;1.53;3.0;2.05;3.5;2.6;2.45;3.15;0;0;0.0;1.8;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;10.0;2.25;0;0;1.42;2.82;6.85;23.0;2.6;1.34;1.07;1.01;1.22;2.2;5.0;10.5;3.74;1.62;1.14;1.02;0;0;0;0;2;1;0;1;0;1;1;2022-07-15;1934;0;0;0;0;0;1;1;2;0;1;6;2;7;0;1;1;1;1;2;1;64;81;117;170;2.1;1.78;3.88;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Spartak Subotica;Radnik Surdulica;1.44;0.11;0.0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7492;19;Y;Y;N;N;N;N;N
