ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2529561;1976;1984;2022/2023;complete;91065;1;-1;59,81;67;2;1;3;4;3;7;2;1;1;1;0;0;7;4;8;11;15;15;10;7;50;50;1;1;1.62;3.84;5.05;1.06;1.28;1.91;3.24;5.5;8.0;3.26;1.91;1.29;1.12;1.92;1.81;0;0;0;0;1.13;1.23;2.2;2.19;2.2;5.3;1.96;2.57;5.0;0;0;1.27;1.51;1.85;2.29;3.0;3.4;2.38;1.93;1.55;1.33;1.25;7.0;4.6;1.5;9.2;3.1;2.7;8.0;1.38;2.81;6.5;15;2.85;1.39;1.08;1.02;1.2;2.13;4.3;10.0;4.0;1.65;1.18;1.04;0;0;0;0;3;0;0;2;1;3;0;2022-07-15;1976;0;0;0;0;0;1;1;3;1;1;2;4;3;1;1;0;0;2;0;1;138;81;172;129;2.44;1.82;4.25;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Koper;Tabor Sežana;1.67;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;Y;Y;Y;N;N;N;Y
2529563;1972;1970;2022/2023;complete;91065;1;-1;;;0;0;0;2;4;6;1;0;4;3;0;0;5;5;7;4;12;9;20;9;50;50;4;3;2.45;3.3;2.8;1.05;1.3;1.93;3.25;6.0;9.0;3.4;1.88;1.33;1.11;1.73;2.0;0;0;0;0;1.4;1.3;1.5;2.9;2.1;3.25;2.8;2.3;3.0;0;0;0.0;1.33;1.64;2.01;2.63;0.0;3.1;2.17;1.77;1.44;2.01;7.1;2.17;1.99;10.25;2.02;4.0;4.75;1.36;2.75;6.5;15;3.0;1.4;1.1;1.02;1.29;2.1;4.33;9.0;3.5;1.67;1.2;1.05;0;0;0;0;0;0;0;0;0;0;0;2022-07-16;-1;0;0;0;0;0;1;1;1;2;1;2;3;3;2;2;2;1;4;3;1;51;82;114;145;1.49;1.53;3.01;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Domžale;Celje;1.44;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;N;N;N;N;N;N;N
2529559;969;1975;2022/2023;complete;91065;1;-1;;11,35,74;0;3;3;7;3;10;0;3;1;3;0;0;4;8;4;3;8;11;12;14;50;50;1;3;1.53;4.0;6.0;1.05;1.33;1.95;3.25;5.5;9.0;3.25;1.85;1.33;1.12;2.05;1.7;0;0;0;0;1.1;1.22;2.5;1.95;2.25;5.8;1.85;2.45;5.8;0;0;1.21;1.4;1.73;2.14;2.95;4.0;2.75;2.05;1.66;1.36;1.19;8.0;5.5;1.41;10.5;3.4;2.25;11.0;1.36;2.62;6.5;13;3.0;1.44;1.1;1.02;1.3;2.2;4.5;10.0;3.4;1.62;1.17;1.04;0;0;0;0;3;0;2;0;1;1;2;2022-07-16;1975;0;0;0;0;0;1;1;5;2;2;1;7;3;0;1;1;2;1;3;1;51;59;109;97;1.17;1.68;2.85;0;0;0;0;0;0;1;1;0;0;4;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Maribor;Radomlje;1.22;0.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;Y;Y;Y;N;N;N;N
2529562;115;1991;2022/2023;complete;91065;1;-1;73,90;;2;0;2;3;8;11;1;5;2;1;0;0;5;0;4;12;9;12;15;9;50;50;2;1;2.03;3.5;2.95;1.05;1.22;1.68;2.8;4.75;9.0;4.0;2.08;1.4;1.15;1.67;2.1;0;0;0;0;1.22;1.3;1.85;2.38;2.25;3.9;2.25;2.5;3.6;0;0;0.0;1.35;1.64;2.01;2.5;0.0;2.9;2.17;1.77;1.47;1.79;7.7;2.43;1.69;10.5;2.43;3.5;7.0;1.33;2.55;5.5;13;3.25;1.46;1.12;1.02;1.22;1.94;3.75;8.0;4.0;1.79;1.25;1.06;0;0;0;0;2;0;0;2;0;2;0;2022-07-17;115;0;0;0;0;0;1;1;1;5;2;3;6;5;2;0;0;1;2;1;1;50;70;93;107;1.29;1.27;2.55;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Olimpija;Mura;2.78;1.22;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;Y;Y;N;N;N;N;N
2529560;1969;1992;2022/2023;complete;91065;1;-1;33,90;;2;0;2;2;4;6;2;2;3;0;0;1;6;5;13;8;19;13;13;12;50;50;3;2;2.9;3.0;2.3;1.02;1.29;2.1;3.26;7.3;9.8;3.24;1.67;1.28;1.06;1.62;2.2;0;0;0;0;1.42;1.25;1.4;3.0;2.2;3.1;2.63;2.4;2.88;0;0;1.22;1.38;1.7;2.17;2.85;3.9;2.8;2.03;1.61;1.37;2.42;8.0;1.87;1.8;8.9;2.1;4.2;4.75;1.36;2.63;7.0;19;3.0;1.44;1.1;1.02;1.25;2.14;4.33;10.0;3.75;1.64;1.2;1.04;0;0;0;0;2;1;0;1;0;1;1;2022-07-18;1969;0;0;0;0;0;1;1;1;2;1;2;3;3;0;1;3;0;1;3;1;65;59;118;115;2.09;1.6;3.69;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Gorica;Bravo;0.78;0.56;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;Y;Y;N;N;N;N;N
2529564;1975;1970;2022/2023;complete;91065;2;-1;90;53;1;1;2;10;3;13;3;2;1;0;0;0;4;9;8;11;12;20;13;12;50;50;1;0;2.51;3.25;2.41;1.05;1.26;1.88;2.98;5.63;13.0;3.86;1.84;1.39;1.15;1.61;2.2;0;0;0;0;1.48;1.27;1.45;3.18;2.21;3.02;2.89;2.56;2.76;0;0;0.0;1.39;1.69;2.09;2.72;0.0;2.75;2.09;1.7;1.39;2.04;7.1;2.14;2.01;10.75;1.97;4.75;4.6;1.33;2.56;6.0;13;3.1;1.46;1.1;1.02;1.17;1.95;3.9;8.0;4.4;1.78;1.21;1.06;0;0;0;0;2;0;0;1;1;2;0;2022-07-22;-1;0;0;0;0;0;1;1;1;3;9;0;4;9;0;0;1;0;0;1;1;59;57;125;121;1.47;2.31;3.78;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;4.0;0.0;3.0;0.0;Radomlje;Celje;0.67;1.11;0.0;1.0;3.0;1.0;50;50;50;50;50;0;0;0;0.0;1.53;1.53;7526;18;Y;Y;N;N;N;N;Y
2529568;969;1969;2022/2023;complete;91065;2;-1;20,45,52;17,61;3;2;5;10;2;12;1;3;0;1;0;0;14;5;10;6;24;11;8;8;50;50;0;1;1.41;4.1;6.81;1.02;1.26;1.85;3.08;5.85;9.6;3.4;1.85;1.31;1.09;2.2;1.58;0;0;0;0;1.06;1.11;3.0;1.82;2.38;7.7;1.66;2.75;6.75;0;0;0.0;1.42;1.75;2.23;3.0;0.0;2.65;1.96;1.58;1.34;1.24;13.0;5.25;1.22;10.0;4.75;2.15;12.0;1.37;2.7;6.75;19;2.85;1.4;1.09;1.01;1.22;2.05;4.33;10.5;3.8;1.68;1.19;1.04;0;0;0;0;5;2;1;1;1;2;3;2022-07-23;969;0;0;0;0;0;1;1;7;2;3;0;9;3;0;0;0;1;0;1;1;75;48;114;103;3.03;1.4;4.43;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;50;50;50;50;50;50;0;7.0;0.0;1.0;1.5;Maribor;Gorica;1.22;0.56;0.0;0.0;0.0;3.0;50;50;0;0;0;50;50;0;1.17;0.0;1.17;7526;18;Y;Y;Y;Y;Y;N;Y
2529567;1992;1976;2022/2023;complete;91065;2;-1;43;;1;0;1;5;9;14;3;4;2;2;0;0;11;13;8;4;19;17;14;17;50;50;2;2;3.05;3.25;2.08;1.05;1.38;1.99;4.0;7.9;7.6;2.76;1.81;1.2;1.04;1.96;1.77;0;0;0;0;1.72;1.3;1.25;4.4;2.02;2.66;4.0;2.33;2.39;0;0;1.26;1.49;1.83;2.25;3.0;3.5;2.41;1.96;1.58;1.35;2.86;7.8;1.61;2.55;7.6;1.74;6.0;3.25;1.47;3.2;8.4;15;2.53;1.31;1.04;1.02;1.3;2.39;5.5;11.0;3.26;1.52;1.11;1.03;0;0;0;0;1;1;0;0;0;0;1;2022-07-24;1992;0;0;0;0;0;1;1;3;4;2;5;7;7;0;0;2;2;0;4;1;52;65;122;146;2.35;2.46;4.81;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Bravo;Koper;1.78;1.56;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;Y;N;N;N;N;N;N
2529565;1991;1972;2022/2023;complete;91065;2;-1;17,61,70,90;24,27,37;4;3;7;9;4;13;0;3;4;3;0;1;12;7;14;2;26;9;12;11;50;50;4;5;1.87;3.6;3.25;1.0;1.19;1.65;2.61;4.74;11.0;4.04;2.11;1.42;1.14;1.62;2.18;0;0;0;0;1.24;1.24;1.87;2.38;2.28;4.2;2.18;2.66;3.78;0;0;0.0;1.31;1.56;1.9;2.35;0.0;3.2;2.29;1.89;1.52;1.36;9.2;3.92;1.64;11.25;2.5;3.6;7.0;1.31;2.47;5.5;12;3.2;1.49;1.11;1.03;1.15;1.89;3.6;8.0;4.7;1.83;1.24;1.06;0;0;0;0;7;1;3;3;0;3;4;2022-07-24;1991;0;0;0;0;0;1;1;6;1;2;3;7;5;1;0;3;4;1;7;1;85;43;100;74;3.08;1.37;4.45;1;0;1;0;0;0;1;1;0;0;2;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Mura;Domžale;2.11;1.33;0.0;0.0;0.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;Y;Y;Y;Y;Y;Y;Y
2529566;1984;115;2022/2023;complete;91065;2;-1;;19;0;1;1;5;1;6;0;4;2;1;0;0;3;6;7;3;10;9;15;8;50;50;2;1;3.1;3.25;2.04;1.01;1.31;2.02;3.4;6.6;10.5;3.08;1.8;1.26;1.07;1.86;1.86;0;0;0;0;1.85;1.27;1.22;4.6;2.11;2.46;4.1;2.45;2.24;0;0;1.29;1.55;1.91;2.37;3.1;3.3;2.3;1.88;1.51;1.31;2.75;7.7;1.65;2.66;8.6;1.65;7.0;3.0;1.41;2.92;7.0;15;2.73;1.36;1.07;1.02;1.22;2.2;4.6;10.0;3.8;1.61;1.16;1.04;0;0;0;0;1;0;1;0;0;0;1;2022-07-24;115;0;0;0;0;0;1;1;2;0;3;1;2;4;0;0;2;1;0;3;1;81;95;94;125;1.43;1.68;3.11;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Tabor Sežana;Olimpija;0.78;2.11;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7526;18;Y;N;N;N;N;N;N
