ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
347113;4350;6681;2018;complete;2477;0;-1;;;0;0;0;2;3;5;2;4;1;4;0;0;5;8;5;10;10;18;9;13;35;65;1;4;2.73;3.14;2.8;1.12;1.53;2.5;5.5;13;6;2.37;1.57;1.14;1.04;2.2;1.61;2.75;1.39;2.25;1.57;0;0;0;3.46;1.94;3.54;3.92;2.09;2.83;0;0;0;0;2.1;0;0;0;0;1.66;0;0;0;0;0;2.5;6;1.83;4.75;3.39;0;0;0;0;0;0;0;0;1.51;4;13;0;2.49;1.22;1.04;0;0;0;0;0;0;0;0;0;0;0;0;2018-01-22 22:15:00;-1;1;0;0;0;0;1;1;0;1;2;2;1;4;1;1;0;3;2;3;1;63;79;97;111;1.44;2.26;3.7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Wanderers;Olimpia;0.5;1.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188;2;N;N;N;N;N;N;N
347114;4323;2847;2018;complete;2477;0;-1;17;69;1;1;2;1;3;4;4;1;3;3;0;0;6;4;12;1;18;5;18;25;51;49;3;3;1.64;3.56;6.6;1.1;1.39;2.32;4.33;10;7.5;2.75;1.65;1.19;1.06;2.25;1.57;1.8;1.9;4.5;1.18;0;0;0;2.2;2.06;6.8;1.91;2.38;7.1;0;0;0;1.72;0;0;0;0;2;0;0;0;0;0;0;1.39;7.5;3.75;2.2;10;0;0;0;0;0;0;0;0;1.44;3.39;10;26;2.69;1.3;1.06;1.01;0;0;0;0;2;1;0;0;1;1;1;2018-01-22 23:00:00;-1;1;0;0;0;0;1;1;1;2;0;1;3;1;0;1;3;2;1;5;1;72;51;90;87;2.07;0.97;3.04;0;0;0;0;0;0;1;1;0;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Macará;Deportivo Táchira;1;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188;2;Y;Y;N;N;N;N;Y
347115;2260;2799;2018;complete;2477;0;-1;28,80;;2;0;2;5;3;8;2;1;3;3;1;1;7;2;5;8;12;10;23;18;46;54;4;4;2.01;3.32;4.1;1.07;1.36;2.25;4;9;9;3;1.69;1.22;1.07;2.04;1.7;2.1;1.66;4.33;1.19;0;0;0;2.61;2.03;4.75;2.07;2.38;5.5;0;0;0;0;1.9;0;0;0;0;1.8;0;0;0;0;0;1.5;9;3.1;2.6;7;0;0;0;0;0;0;0;0;1.43;3.25;10;26;2.74;1.33;1.06;1.01;0;0;0;0;2;1;0;1;0;1;1;2018-01-23 01:15:00;2260;1;0;0;0;0;1;1;2;2;3;1;4;4;3;2;1;2;5;3;1;48;44;100;97;1.6;1.1;2.7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Oriente Petrolero;Universitario;1;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188;2;Y;Y;N;N;N;N;N
347116;6681;4350;2018;complete;2477;0;-1;56,88;;2;0;2;7;1;8;0;3;1;1;0;0;8;4;8;2;16;6;10;12;64;36;1;1;1.39;4;10;1.1;1.36;2.14;4;9;7.5;3;1.66;1.22;1.07;2.5;1.5;1.61;2.2;5.5;1.14;1.07;1.22;2.8;2;2.2;6;1.8;2.4;6.5;0;0;0;0;1.9;0;0;0;0;1.8;0;0;0;0;0;1.28;7.5;4.75;1.9;15;0;0;0;0;0;0;0;0;1.39;3.25;9;26;2.9;1.33;1.07;1.01;0;0;0;0;2;0;0;2;0;2;0;2018-01-26 23:15:00;6681;1;0;0;0;0;1;1;3;0;4;1;3;5;1;1;0;0;2;0;1;74;24;91;65;2.1;0.84;2.94;0;0;0;0;0;0;1;1;0;0;3;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;5;6;5;0;Olimpia;Wanderers;1.75;0.5;1;1;1;1;100;100;100;100;100;0;0;0;0;0;0;1188;2;Y;Y;N;N;N;N;N
347117;2847;4323;2018;complete;2477;0;-1;;;0;0;0;3;4;7;1;3;1;4;0;0;0;2;6;5;6;7;22;24;52;48;1;4;2.25;3;3.5;1.12;1.53;2.7;5.5;13;6;2.37;1.44;1.14;1.04;2.2;1.61;2.2;1.61;3;1.36;0;0;0;0;0;0;2.81;2.05;4.1;0;0;0;1.72;0;0;0;0;2;0;0;0;0;0;0;1.8;6;2.5;3.25;5;0;0;0;0;0;0;0;0;1.54;3.75;13;0;2.41;1.25;1.04;0;0;0;0;0;0;0;0;0;0;0;0;2018-01-27 00:15:00;-1;1;100;0;0;0;1;1;2;2;1;2;4;3;1;1;0;3;2;3;1;25;30;53;61;0.56;0.8;1.37;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;100;100;0;100;100;0;4;5;6;2;Deportivo Táchira;Macará;0.75;1;1;1;1;1;100;100;100;0;0;0;0;0;0;0;0;1188;2;N;N;N;N;N;N;N
347118;2799;2260;2018;complete;2477;0;-1;8,61,66;85;3;1;4;0;8;8;1;3;3;6;0;2;6;7;6;4;12;11;19;15;54;46;3;9;2.04;3.29;3.6;1.08;1.39;2.35;4.33;10;8;2.75;1.57;1.19;1.06;2;1.75;2.37;1.53;3.39;1.3;0;0;0;0;0;0;2.45;2.23;4.33;0;0;0;0;1.83;0;0;0;0;1.83;0;0;0;0;0;1.72;7.5;2.5;3.25;5.5;0;0;0;0;0;0;0;0;1.41;3.39;10;26;2.82;1.3;1.06;1.01;0;0;0;0;4;1;0;2;1;3;1;2018-01-27 01:45:00;2799;1;0;0;0;0;1;1;0;6;0;2;6;2;1;2;2;6;3;8;1;29;39;57;57;1.38;1.46;2.85;0;0;0;0;0;0;1;1;1;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;100;100;0;100;100;0;8;3;8;2;Universitario;Oriente Petrolero;1.5;1;0;3;0;3;100;100;100;0;0;0;0;0;0;0;0;1188;2;Y;Y;Y;Y;N;N;Y
347119;2848;6672;2018;complete;2478;0;-1;19;;1;0;1;7;6;13;1;0;2;3;0;1;5;5;6;1;11;6;13;17;64;36;2;4;3.29;3.1;2.29;1.08;1.5;2.5;4.5;10;7;2.5;1.5;1.17;1.04;2.1;1.67;3;1.36;2.37;1.53;1.57;1.36;1.3;4;1.91;3;3.55;2.38;2.5;0;0;0;1.72;2;0;0;0;2;1.72;0;0;0;0;0;2.39;6.5;1.8;4.75;3.39;0;0;0;0;0;0;0;0;1.57;3.75;11;26;2.25;1.25;1.05;1.01;0;0;0;0;1;1;0;0;0;0;1;2018-01-30 22:15:00;2848;1;0;0;0;0;1;1;3;2;4;4;5;8;2;2;0;2;4;2;1;0;0;0;0;1.47;1;2.47;0;0;0;0;0;0;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Carabobo;Guaraní;1.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188;2;Y;N;N;N;N;N;N
347120;706;4321;2018;complete;2478;0;-1;71;90;1;1;2;4;5;9;4;3;4;5;1;1;5;5;6;1;11;6;22;15;54;46;6;7;1.66;3.66;6;1.1;1.44;2.2;4.5;11;7;2.62;1.72;1.18;1.05;2.38;1.53;1.83;1.83;4.33;1.19;1.11;1.25;1.01;2.21;2.11;6.2;2;2.3;6.6;0;0;0;1.8;2;0;0;0;1.9;1.72;0;0;0;0;0;1.44;7;3.5;2.37;8.5;0;0;0;0;0;0;0;0;1.41;3.8;11.5;26;2.82;1.32;1.07;1.01;0;0;0;0;2;0;0;1;1;2;0;2018-01-31 00:30:00;-1;1;0;0;0;0;1;1;4;4;0;1;8;1;1;3;4;3;4;7;1;68;45;78;75;1.53;1.06;2.59;1;1;1;1;0;0;1;1;0;0;1;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Banfield;CSD Independiente del Valle;0.75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188;2;Y;Y;N;N;N;N;Y
347121;2185;2808;2018;complete;2478;0;-1;2;45;1;1;2;5;3;8;1;2;2;3;0;0;2;2;6;3;8;5;15;5;60;40;2;3;1.95;3.15;4.15;1.08;1.44;2.38;4.5;9;7;2.63;1.53;1.17;1.05;2.24;1.6;0;0;0;0;1.15;1.01;2;2.61;1.92;4.6;2.12;2.33;4.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.73;7;2.65;0;0;0;0;0;0;0;0;0;0;1.5;3.5;8;21;2.5;1.29;1.06;1.01;0;0;0;0;2;1;1;0;0;0;2;2018-01-31 00:30:00;-1;1;0;0;0;0;1;1;3;3;2;0;6;2;0;0;2;3;0;5;1;53;21;84;53;1.03;0.61;1.65;0;0;0;0;0;0;1;1;1;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Santiago Wanderers;Melgar;1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188;2;Y;Y;N;N;N;N;Y
347122;623;4359;2018;complete;2478;0;-1;;74;0;1;1;4;2;6;1;2;3;3;2;1;4;3;3;3;7;6;17;13;55;45;7;4;2.33;3.1;3.44;1.12;1.53;2.32;5.5;13;6;2.37;1.65;1.14;1.04;2.2;1.61;2.2;1.61;3.25;1.33;0;0;0;2.98;1.96;4.15;2.66;2.1;4.25;0;0;0;0;1.8;2;0;0;0;1.9;1.72;0;0;0;0;1.72;6;2.62;3.1;5.5;0;0;0;0;0;0;0;0;1.44;3.75;13;26;2.69;1.25;1.04;1.01;0;0;0;0;1;0;0;0;1;1;0;2018-01-31 23:45:00;4359;1;0;0;0;0;1;1;0;0;4;2;0;6;1;2;4;2;3;6;1;52;43;128;99;1.12;0.91;2.03;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Chapecoense;Nacional;0;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1188;2;Y;N;N;N;N;N;N
