ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
945063;3832;3850;2020;complete;57102;1;-1;39;68;1;1;2;5;3;8;3;1;3;2;0;1;4;5;6;8;10;13;15;9;58;42;3;3;2.6;3.65;2.35;1.01;1.19;1.62;2.6;4.7;11.5;4.3;2.15;1.44;1.16;1.56;2.3;2.55;1.38;5;1.16;1.19;1.19;1.87;2.29;2.29;4.55;2.12;2.63;4.15;0;0;1.37;1.68;2.23;2.85;4.06;2.85;2.22;1.68;1.37;1.2;1.54;5.85;2.95;1.61;10.75;2.65;3.05;6.1;1.32;2.51;5.95;13;3.2;1.49;1.11;1.02;1.2;1.98;4;9;4.25;1.77;1.22;1.05;0;0;0;0;2;1;0;0;1;1;1;2020-05-09 04:30:00;-1;0;0;0;0;0;1;1;2;1;3;2;3;5;2;1;1;2;3;3;1;69;52;86;59;1.41;1.54;2.95;1;0;1;0;0;0;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Jeju United;Seoul E-Land;2.21;1.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;Y;N;N;N;N;Y
945064;3843;3845;2020;complete;57102;1;-1;18;35,90;1;2;3;4;2;6;1;3;2;3;0;0;5;4;12;7;17;11;17;20;42;58;2;3;1.74;3.8;4;1.02;1.24;1.77;2.95;5.45;10;3.75;1.95;1.36;1.12;1.74;2;3.2;1.25;3.4;1.3;1.44;1.23;1.4;3.44;2.13;3.02;3.14;2.43;2.76;0;0;1.38;1.68;2.24;2.62;3.8;2.89;2.21;1.67;1.42;1.23;1.59;5.95;2.8;2.13;9;1.95;4.15;4;1.39;2.81;7.1;11.2;2.85;1.4;1.08;1.02;1.25;2.19;4.85;10;3.7;1.63;1.16;1.04;0;0;0;0;3;1;1;0;1;1;2;2020-05-09 07:00:00;3845;0;0;0;0;0;1;1;1;1;3;1;2;4;0;1;2;2;1;4;1;79;75;87;101;1.98;1.52;3.5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Suwon;Daejeon Citizen;1.57;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4381;28;Y;Y;Y;N;N;N;Y
945065;3849;3852;2020;complete;57102;1;-1;;90;0;1;1;0;7;7;0;0;3;1;0;0;4;4;2;6;6;10;10;13;36;64;3;1;2.65;3.55;2.35;1.03;1.25;1.8;3;5.6;9.75;3.65;1.95;1.34;1.11;1.67;2.1;3.75;1.25;3;1.36;1.57;1.33;1.36;3.5;2.1;3;3.1;2.4;2.6;0;0;1.35;1.66;2.15;2.95;4.2;2.95;2.1;1.62;1.35;1.19;2.25;5.9;2.07;2.2;10;1.8;4.05;4.2;1.4;3;8;21;2.75;1.36;1.08;1.01;1.22;1.91;4.5;13;4;1.69;1.18;1.04;0;0;0;0;1;0;0;0;1;1;0;2020-05-10 04:30:00;3852;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;2;0;1;1;2;2;1;54;95;78;104;1.05;1.6;2.65;0;1;0;1;0;0;1;1;0;0;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Asan Mugunghwa;Bucheon 1995;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;N;N;N;N;N;N
945066;3848;3943;2020;complete;57102;1;-1;;51;0;1;1;3;3;6;7;1;2;2;0;0;5;5;5;4;10;9;7;13;54;46;2;2;1.95;3.55;3.35;1.03;1.23;1.77;2.95;5.45;9.75;3.8;1.95;1.36;1.12;1.69;2.1;2.6;1.38;3.75;1.25;1.3;1.3;1.66;2.75;2.1;4;2.4;2.35;3.45;0;0;1.41;1.72;2.08;2.83;4.4;2.79;2;1.67;1.39;1.17;1.64;6.3;3.05;1.66;9;2.5;3.25;4.95;1.36;2.75;6.3;12.25;2.65;1.34;1.05;1;1.28;1.95;5.25;11;3.46;1.67;1.14;1.03;0;0;0;0;1;0;0;0;1;1;0;2020-05-10 07:00:00;3943;0;0;0;0;0;1;1;1;2;2;1;3;3;1;1;1;1;2;2;1;93;72;109;78;1.65;1.44;3.09;0;0;0;0;0;0;1;1;0;0;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Anyang;Ansan Greeners;0.85;1.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;N;N;N;N;N;N
945067;3847;3838;2020;complete;57102;1;-1;;;0;0;0;2;5;7;0;1;2;2;0;0;2;3;8;5;10;8;14;14;58;42;2;2;1.95;3.55;3.5;1.04;1.31;2;3.6;6.9;9;3.2;1.74;1.25;1.07;1.87;1.87;2.5;1.42;4;1.22;1.22;1.3;1.8;2.62;2.1;4.33;2.2;2.35;3.8;0;0;1.38;1.72;2.1;2.62;3.8;2.89;2;1.66;1.42;1.23;1.48;6.4;3.78;1.61;9;2.62;3.05;5.5;1.34;2.7;6.35;12.5;2.75;1.35;1.05;1.02;1.26;1.95;5;10;3.62;1.67;1.15;1.04;0;0;0;0;0;0;0;0;0;0;0;2020-05-10 09:30:00;-1;0;0;0;0;0;1;1;0;1;2;4;1;6;1;1;1;1;2;2;1;70;64;80;53;1.27;1.17;2.44;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Gyeongnam;Jeonnam Dragons;1.53;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4381;27;N;N;N;N;N;N;N
945068;3943;3843;2020;complete;57102;2;-1;;32,69;0;2;2;5;6;11;2;2;1;0;0;0;4;8;5;5;9;13;15;18;56;44;1;0;2.15;3.35;2.9;1.02;1.27;1.91;3.3;6.05;9;3.25;1.74;1.26;1.07;1.71;1.95;2.75;1.4;3.5;1.28;1.33;1.3;1.57;3;2.1;3.6;2.6;2.4;3.2;0;0;1.48;1.83;2.44;3.5;5;2.51;1.83;1.54;1.25;1.13;1.83;5.65;2.35;1.72;9.5;2.25;3.45;4.55;1.44;3;9;23;2.62;1.36;1.07;1.01;1.25;1.95;5;13;3.75;1.67;1.16;1.04;0;0;0;0;2;0;1;0;1;1;1;2020-05-16 07:00:00;3843;0;0;0;0;0;1;1;0;6;5;0;6;5;0;0;1;0;0;1;1;70;48;107;85;1.36;1.73;3.09;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Ansan Greeners;Suwon;0.64;2.36;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;Y;N;N;N;N;N
945069;3838;3832;2020;complete;57102;2;-1;59;;1;0;1;0;10;10;1;0;3;3;1;0;3;6;3;11;6;17;12;15;36;64;4;3;2.75;3.2;2.3;1.04;1.31;2.05;3.6;7;7.75;2.95;1.65;1.22;1.05;1.83;1.83;3.4;1.3;2.75;1.4;1.53;1.33;1.36;3.6;2.05;3.1;3.2;2.37;2.62;0;0;1.42;1.72;2.23;3;4.33;2.76;2;1.61;1.36;1.17;2.55;5.8;1.69;2.25;9;1.8;4.25;3.45;1.44;3.25;9;26;2.62;1.33;1.07;1.01;1.25;1.95;5;15;3.75;1.65;1.16;1.03;0;0;0;0;1;0;0;1;0;1;0;2020-05-16 07:00:00;3838;0;0;0;0;0;1;1;0;4;0;6;4;6;1;1;3;2;2;5;1;36;82;62;68;0.85;2.07;2.92;0;0;0;0;0;0;1;1;0;0;0;1;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Jeonnam Dragons;Jeju United;1.29;2.23;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;N;N;N;N;N;N
945070;3852;3848;2020;complete;57102;2;-1;62,90;87;2;1;3;2;1;3;0;1;1;3;0;0;4;4;3;2;7;6;13;14;44;56;1;3;2.35;3.35;2.6;1.02;1.28;1.91;3.3;6.1;9;3.15;1.74;1.25;1.07;1.74;1.91;3.25;1.33;3.25;1.33;1.5;1.33;1.5;3.4;2.1;3.4;2.87;2.37;2.87;0;0;1.4;1.66;2.14;2.9;3.7;2.85;2.1;1.65;1.38;1.22;1.95;5.55;2.2;2;9.5;2;3.9;4;1.44;3.25;9;26;2.62;1.33;1.07;1.01;1.25;1.95;5;13;3.75;1.67;1.16;1.04;0;0;0;0;3;0;0;2;1;3;0;2020-05-16 09:30:00;3852;0;0;0;0;0;1;1;1;0;1;1;1;2;1;2;0;1;3;1;1;52;65;86;98;1.1;1.14;2.24;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Bucheon 1995;Anyang;0.92;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;Y;Y;N;N;N;Y
945071;3850;3847;2020;complete;57102;2;-1;55,83;59,72;2;2;4;5;2;7;1;0;2;4;0;0;8;6;8;5;16;11;8;10;41;59;2;4;3.05;3.3;2.1;1.03;1.31;2;3.5;6.4;8.25;3;1.67;1.23;1.06;1.8;1.83;3.4;1.3;2.62;1.44;1.57;1.33;1.33;3.75;2.05;3.1;3.25;2.37;2.62;0;0;1.4;1.72;2.14;2.89;4.5;2.86;2;1.66;1.38;1.15;2.2;5.85;1.87;2.3;8;1.8;4.4;3.35;1.5;3.4;10;26;2.5;1.3;1.06;1.01;1.28;2.25;5.5;15;3.5;1.57;1.14;1.03;0;0;0;0;4;0;0;2;2;4;0;2020-05-17 07:00:00;-1;0;0;0;0;0;1;1;0;1;5;1;1;6;1;1;1;3;2;4;1;47;48;68;86;1.9;1.46;3.37;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Seoul E-Land;Gyeongnam;1.15;1.29;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;Y;Y;Y;N;N;Y
945072;3845;3849;2020;complete;57102;2;-1;45,82;15,71;2;2;4;5;6;11;1;2;5;1;0;0;7;4;6;3;13;7;21;11;60;40;5;1;1.62;3.55;4.65;1.03;1.29;1.95;3.45;6.45;8.25;3.05;1.69;1.24;1.06;1.91;1.74;2;1.72;4.33;1.2;1.16;1.25;2.25;2.3;2.1;5.5;2;2.4;5;0;0;1.38;1.67;2.15;2.85;4.33;2.9;2.1;1.67;1.4;1.17;1.72;6.5;2.77;1.44;8.5;3.25;2.25;6.45;1.44;3.25;10;26;2.62;1.33;1.06;1.01;1.28;2.37;5.5;15;3.5;1.53;1.14;1.03;0;0;0;0;4;1;1;1;1;2;2;2020-05-17 09:30:00;-1;0;0;0;0;0;1;1;3;3;2;3;6;5;2;1;3;0;3;3;1;58;58;96;79;1.73;1.14;2.87;1;0;1;0;0;0;1;1;0;0;0;2;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Daejeon Citizen;Asan Mugunghwa;1.38;1.15;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4381;27;Y;Y;Y;Y;N;N;Y
