ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
532690;669;653;2019;complete;4235;1;-1;58;;1;0;1;2;4;6;2;3;3;2;0;0;3;2;4;3;7;5;15;18;44;56;3;2;2.95;3.25;2.4;1.05;1.33;2.05;3.65;6.8;9;3.2;1.74;1.27;1.08;1.8;1.95;3.2;1.29;3.25;1.33;1.55;1.34;1.48;3.3;2.05;3.1;2.87;2.4;2.87;0;0;1.2;1.36;1.65;2.1;2.88;4;2.88;2.1;1.66;1.36;2.08;7;2.08;2.1;9.5;1.9;4.3;4.05;0;0;0;0;0;0;0;0;1.4;3;9;23;2.75;1.36;1.07;1.01;0;0;0;0;1;0;0;1;0;1;0;2019-03-31 13:00:00;669;0;0;0;0;0;1;1;1;2;1;2;3;3;1;0;2;2;1;4;1;42;58;101;107;0.97;0.89;1.86;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Falkenberg;Örebro;1.27;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;N;N;N;N;N;N
532691;666;662;2019;complete;4235;1;-1;;9,90;0;2;2;7;4;11;3;1;0;2;0;0;6;4;10;3;16;7;10;18;56;44;0;2;1.74;3.55;4.8;1.05;1.34;2.05;3.7;7.1;8.75;3.15;1.74;1.26;1.08;1.95;1.77;2.15;1.59;4.33;1.2;1.2;1.29;2.1;2.39;2.09;5.45;2.1;2.5;4.33;0;0;1.3;1.66;2;2.75;3.8;3.2;2.1;1.73;1.4;1.22;1.41;8;3.75;1.5;9.5;2.87;2.65;6.55;0;0;0;0;0;0;0;0;1.44;3.25;9;26;2.62;1.33;1.07;1.01;0;0;0;0;2;0;1;0;1;1;1;2019-03-31 13:00:00;662;0;0;0;0;0;1;1;3;2;4;2;5;6;0;1;0;1;1;1;1;63;34;150;94;1.9;0.98;2.88;0;0;0;0;0;0;1;1;0;1;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Kalmar;Sirius;0.73;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;N;N;N;N;N
532692;661;660;2019;complete;4235;1;-1;;;0;0;0;7;3;10;4;1;1;2;0;0;4;3;8;4;12;7;15;14;62;38;1;2;1.61;3.5;6.3;1.07;1.43;2.3;4.4;9.1;7.5;2.75;1.59;1.2;1.05;2.25;1.59;1.91;1.8;3.75;1.25;1.18;1.34;2.1;2.48;1.92;6.4;2.1;2.3;5;0;0;1.4;1.66;2.25;3.2;4.8;2.75;2.1;1.57;1.3;1.14;1.38;8;3.95;1.53;6.5;3.25;2.45;6.7;0;0;0;0;0;0;0;0;1.57;3.75;9;21;2.3;1.25;1.05;1.01;0;0;0;0;0;0;0;0;0;0;0;2019-03-31 13:00:00;-1;0;0;0;0;0;1;1;4;1;3;2;5;5;0;2;1;0;2;1;1;81;17;129;86;1.63;0.79;2.42;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;AIK;Östersunds FK;2.33;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;N;N;N;N;N;N;N
532693;667;125;2019;complete;4235;1;-1;8,36,80;20;3;1;4;2;2;4;0;0;1;3;0;0;6;4;6;4;12;8;10;11;40;60;1;3;3.25;3.25;2.2;1.04;1.3;1.95;3.4;6.4;9.5;3.4;1.83;1.3;1.1;1.74;2;3.4;1.26;3.25;1.33;1.55;1.35;1.44;3.5;2.06;3.22;3;2.4;2.62;0;0;0;0;0;1.9;0;0;0;0;1.8;0;2.18;7.5;1.98;2.1;10;1.83;4.55;4;0;0;0;0;0;0;0;0;1.4;3;8;23;2.75;1.36;1.08;1.01;0;0;0;0;4;2;1;1;0;1;3;2019-03-31 15:30:00;667;0;0;0;0;0;1;1;2;1;0;1;3;1;1;1;0;2;2;2;1;52;49;105;156;1.56;1.17;2.73;0;0;0;0;0;0;1;1;1;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Helsingborg;Norrköping;1.4;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;Y;Y;N;N;Y
532694;654;665;2019;complete;4235;1;-1;29,51,90;84;3;1;4;3;6;9;0;2;1;1;0;0;5;5;6;5;11;10;15;12;39;61;1;1;2.45;3.05;3;1.08;1.44;2.35;4.55;8.8;7.25;2.7;1.56;1.19;1.05;2;1.74;2.65;1.41;3;1.36;1.4;1.38;1.57;3.42;1.9;3.8;2.87;2.25;3.1;0;0;0;1.66;0;0;0;0;2.1;0;0;0;1.75;7;2.6;1.9;7.5;2.25;3.8;4.4;0;0;0;0;0;0;0;0;1.5;3.4;10;26;2.5;1.3;1.06;1.01;0;0;0;0;4;1;0;2;1;3;1;2019-03-31 15:30:00;654;0;0;0;0;0;1;1;0;3;3;3;3;6;1;0;0;1;1;1;1;47;66;86;112;1.39;1.47;2.85;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;AFC Eskilstuna;IFK Göteborg;1;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;Y;Y;N;N;Y
532695;663;655;2019;complete;4235;1;-1;42;17;1;1;2;6;6;12;3;1;1;2;0;0;5;3;8;6;13;9;16;14;42;58;1;2;2.9;3.25;2.4;1.04;1.28;1.91;3.25;5.9;9.75;3.5;1.87;1.32;1.11;1.69;2.05;3.8;1.22;3.25;1.33;1.66;1.34;1.36;3.74;2.12;2.92;3.1;2.5;2.6;0;0;1.17;1.36;1.65;1.9;2.88;4.5;2.88;2.1;1.8;1.36;2.07;7.5;2.07;2.2;10;1.8;5.05;3.85;0;0;0;0;0;0;0;0;1.4;2.75;8;21;2.75;1.4;1.08;1.01;0;0;0;0;2;1;1;0;0;0;2;2019-04-01 17:00:00;-1;0;0;0;0;0;1;1;3;2;3;4;5;7;0;1;1;1;1;2;1;54;50;130;103;1.57;1.15;2.72;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Elfsborg;Hammarby;1.8;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;N;N;N;N;Y
532696;656;664;2019;complete;4235;1;-1;46;76;1;1;2;7;2;9;4;2;2;2;0;0;7;5;3;8;10;13;11;13;52;48;2;2;1.87;3.25;4.5;1.06;1.36;2.1;3.9;7.6;8.5;3.05;1.69;1.24;1.07;1.91;1.8;2.25;1.56;4;1.22;1.25;1.34;1.9;2.61;1.98;5.2;2.25;2.37;4;0;0;1.29;1.57;2;2.6;3.6;3.3;2.25;1.72;1.44;1.25;1.41;8;3.75;1.61;8.5;2.75;2.95;5.9;0;0;0;0;0;0;0;0;1.44;3.25;9;26;2.62;1.33;1.07;1.01;0;0;0;0;2;0;0;1;1;2;0;2019-04-01 17:00:00;-1;0;0;0;0;0;1;1;1;0;6;2;1;8;1;0;1;2;1;3;1;51;26;114;97;1.5;1.37;2.87;1;0;0;0;1;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Malmö FF;Häcken;2.53;1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;N;N;N;N;Y
532697;659;658;2019;complete;4235;1;-1;10,16;30,56;2;2;4;5;2;7;3;1;0;3;0;0;7;6;5;3;12;9;14;11;35;65;0;3;1.83;3.3;4.55;1.05;1.33;2;3.6;6.75;9;3.2;1.77;1.27;1.08;1.87;1.87;2.35;1.51;4.5;1.18;1.2;1.33;2.05;2.4;2.1;5;2.1;2.5;4.5;0;0;1.2;1.36;1.65;2;2.88;4;2.88;2.1;1.72;1.36;1.34;8.5;4.1;1.53;9.5;2.75;2.9;6.4;0;0;0;0;0;0;0;0;1.4;3;8;23;2.75;1.36;1.08;1.01;0;0;0;0;4;2;1;0;1;1;3;2019-04-01 17:00:00;-1;0;0;0;0;0;1;1;3;1;2;1;4;3;0;1;0;2;1;2;1;58;26;110;116;1.67;1.19;2.87;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Djurgården;GIF Sundsvall;2.2;0.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;Y;Y;N;N;Y
532698;658;656;2019;complete;4235;2;-1;65,80,86;79;3;1;4;2;10;12;0;0;1;1;0;0;9;6;5;12;14;18;9;10;43;57;1;1;4.65;3.5;1.77;1.04;1.3;1.95;3.4;7.5;9.5;3.4;1.83;1.3;1.1;1.83;1.91;4.5;1.18;2.5;1.5;2.05;1.28;1.22;4.89;2.28;2.52;4;2.5;2.1;0;0;0;0;1.9;0;0;0;0;1.8;0;0;2.9;7.5;1.61;2.75;11;1.5;7;3;0;0;0;0;0;0;0;0;1.38;2.99;8;21;2.93;1.36;1.08;1.01;0;0;0;0;4;0;0;3;1;4;0;2019-04-06 14:00:00;658;0;0;0;0;0;1;1;0;4;2;6;4;8;1;0;0;1;1;1;1;17;78;72;140;1.64;2.12;3.76;1;1;1;0;0;1;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;GIF Sundsvall;Malmö FF;0.87;1.8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;Y;Y;N;N;Y
532699;664;667;2019;complete;4235;2;-1;39,49;86;2;1;3;3;8;11;0;2;1;2;0;0;5;4;4;1;9;5;17;18;44;56;1;2;1.59;3.9;5.6;1.03;1.25;1.8;3;5.5;10.75;3.8;2;1.37;1.13;1.83;1.91;2.25;1.57;6;1.12;1.14;1.25;2.5;2.17;2.48;5.69;1.83;2.62;5;0;0;0;0;0;1.9;0;0;0;0;1.8;0;1.34;8.5;4.1;1.4;12;3.1;2.75;10;0;0;0;0;0;0;0;0;1.3;2.67;7;19;3.29;1.46;1.1;1.02;0;0;0;0;3;1;0;1;1;2;1;2019-04-06 14:00:00;664;0;0;0;0;0;1;1;2;3;1;5;5;6;1;1;0;1;2;1;1;57;60;108;112;1.34;1.04;2.38;1;0;1;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Häcken;Helsingborg;1.73;0.6;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1848;30;Y;Y;Y;N;N;N;Y
