ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
532930;672;2911;2019;complete;4236;1;-1;43;23,73;1;2;3;8;3;11;1;1;2;2;0;0;9;7;9;6;18;13;10;7;56;44;2;2;1.95;3.4;3.75;1.02;1.22;1.71;2.8;5;11.5;4.05;2.05;1.41;1.15;1.62;2.2;2.62;1.44;5.5;1.14;1.2;1.28;2.15;2.3;2.3;4.5;2.05;2.62;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;13;2.62;3.2;8;0;0;0;0;0;0;0;0;1.33;2.5;6.5;17;3.25;1.5;1.11;1.02;0;0;0;0;3;1;1;0;1;1;2;2019-03-30 12:30:00;2911;0;0;0;0;0;1;1;2;2;6;1;4;7;2;0;0;2;2;2;1;96;50;139;92;2.46;1.67;4.13;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Brommapojkarna;Västerås SK;0.93;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;Y;Y;N;N;N;Y
532931;677;673;2019;complete;4236;1;-1;22;88;1;1;2;3;5;8;1;1;0;5;0;0;5;2;6;2;11;4;11;15;54;46;0;5;1.69;3.65;4.8;1.02;1.22;1.71;2.8;4.95;11.5;4.05;2.05;1.41;1.15;1.69;2.05;2.5;1.43;5.5;1.14;1.14;1.24;2.05;2.23;2.28;4.8;2;2.6;3.95;0;0;0;0;0;0;0;0;0;0;0;0;1.35;9;3.9;1.5;11.25;2.7;3;7.25;0;0;0;0;0;0;0;0;1.31;2.55;5.8;11.75;3.05;1.42;1.08;1.01;0;0;0;0;2;1;0;0;1;1;1;2019-03-30 15:00:00;-1;0;0;0;0;0;1;1;1;2;2;3;3;5;0;3;0;2;3;2;1;70;55;121;107;1.56;0.81;2.36;0;0;0;0;0;0;1;1;0;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Örgryte;Norrby;1.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;Y;N;N;N;N;Y
532932;681;679;2019;complete;4236;1;-1;16,25;5,29;2;2;4;2;2;4;1;1;2;4;0;0;6;4;8;6;14;10;11;16;50;50;2;4;2.3;3.25;3;1.04;1.3;1.95;3.4;6;9.5;3.4;1.83;1.3;1.1;1.74;2;2.95;1.32;3.75;1.25;1.4;1.3;1.6;2.95;2.12;3.55;2.65;2.43;3.25;0;0;0;0;1.72;0;0;0;0;2.14;0;0;1.8;7.5;2.43;1.87;9.5;2.1;3.85;4.8;0;0;0;0;0;0;0;0;1.35;2.7;6.85;13;3.04;1.43;1.08;1.01;0;0;0;0;4;2;2;0;0;0;4;2019-03-30 15:00:00;-1;0;0;0;0;0;1;1;1;2;1;0;3;1;1;2;1;2;3;3;1;42;45;75;62;1.6;1.23;2.84;0;0;0;0;0;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Trelleborg;GAIS;1.13;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;Y;Y;Y;N;N;Y
532933;671;676;2019;complete;4236;1;-1;;85;0;1;1;7;5;12;3;1;2;3;0;0;2;6;5;6;7;12;12;12;51;49;2;3;2.2;3.35;3.05;1.03;1.26;1.83;3.1;6;10.5;3.7;1.95;1.35;1.12;1.67;2.1;3.25;1.33;4;1.22;1.38;1.3;1.7;2.87;2.2;3.6;2.5;2.5;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.72;11;2.25;4;5.5;0;0;0;0;0;0;0;0;1.36;2.75;8;21;3;1.4;1.08;1.01;0;0;0;0;1;0;0;0;1;1;0;2019-03-30 15:00:00;676;0;0;0;0;0;1;1;2;3;5;2;5;7;1;1;1;2;2;3;1;87;77;101;119;1.21;1.74;2.95;0;0;0;0;0;0;1;1;0;0;1;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Mjällby;Varberg;2.27;1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;N;N;N;N;N;N
532934;683;674;2019;complete;4236;1;-1;;;0;0;0;5;3;8;1;0;2;1;0;1;4;4;11;7;15;11;16;12;56;44;2;3;1.95;3.5;3.6;1.05;1.32;2;3.5;6.7;9.25;3.3;1.8;1.28;1.09;1.83;1.91;2.3;1.5;4.33;1.2;1.22;1.29;2;2.4;2.25;4.3;2.2;2.5;4;0;0;0;0;1.83;0;0;0;0;2.01;0;0;1.48;8;3.3;1.57;10;2.6;2.85;5.8;0;0;0;0;0;0;0;0;1.4;3;8;23;2.75;1.36;1.08;1.01;0;0;0;0;0;0;0;0;0;0;0;2019-03-31 13:00:00;-1;0;0;0;0;0;1;1;2;0;3;3;2;6;0;0;2;2;0;4;1;100;48;146;100;1.95;1.33;3.28;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Öster;Dalkurd;1.2;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;N;N;N;N;N;N;N
532935;682;680;2019;complete;4236;1;-1;14;9,19,24,81;1;4;5;3;5;8;4;1;1;0;0;0;4;11;7;7;11;18;12;13;53;47;1;0;2.7;3.15;2.55;1.05;1.33;2.05;3.65;6.5;9;3.2;1.74;1.27;1.08;1.77;1.95;3.35;1.25;3;1.36;1.53;1.3;1.33;3.4;2;3.1;3;2.3;2.8;0;0;0;0;1.95;0;0;0;0;1.89;0;0;0;0;0;2;9;2;4.75;4.2;0;0;0;0;0;0;0;0;1.36;2.88;8;19;2.88;1.36;1.05;1;0;0;0;0;5;1;3;0;1;1;4;2019-03-31 15:30:00;680;0;0;0;0;0;1;1;3;1;0;4;4;4;0;0;1;0;0;1;1;73;79;119;111;1.51;2.47;3.98;0;1;0;1;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Syrianska;Degerfors;0.87;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;Y;Y;Y;Y;N;Y
532936;2912;675;2019;complete;4236;1;-1;77,84;;2;0;2;2;6;8;1;5;1;2;0;1;5;5;8;5;13;10;13;9;57;43;1;3;1.87;3.5;3.9;1.02;1.2;1.65;2.6;5;12.25;4.4;2.2;1.47;1.18;1.57;2.3;2.75;1.4;5.5;1.14;1.28;1.28;1.95;2.4;2.3;4.33;2.1;2.62;3.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.53;15;2.5;3.4;7.5;0;0;0;0;0;0;0;0;1.33;2.5;6.5;17;3.25;1.5;1.11;1.02;0;0;0;0;2;0;0;2;0;2;0;2019-04-01 17:00:00;2912;0;0;0;0;0;1;1;1;2;1;4;3;5;1;1;0;2;2;2;1;82;78;154;119;1.78;1.55;3.33;2;0;2;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Brage;Frej;1.93;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;Y;N;N;N;N;N
532937;652;657;2019;complete;4236;1;-1;;85;0;1;1;4;4;8;3;4;2;2;0;0;5;6;8;10;13;16;9;9;44;56;2;2;2.35;3;3.1;1.07;1.43;2.3;4.4;8.3;7.5;2.75;1.59;1.2;1.05;1.95;1.8;2.62;1.44;3.4;1.3;1.34;1.38;1.61;3.1;2;3.75;2.62;2.25;3.4;0;0;1.11;1.25;1.45;1.9;2.4;5.5;3.6;2.55;1.8;1.5;1.88;7.5;2.3;1.8;7.5;2.37;3.6;5.5;0;0;0;0;0;0;0;0;1.5;3.4;10;26;2.5;1.3;1.06;1.01;0;0;0;0;1;0;0;0;1;1;0;2019-04-02 17:00:00;657;0;0;0;0;0;1;1;1;2;3;2;3;5;0;0;2;2;0;4;1;69;85;127;171;1.68;2.06;3.74;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Jönköpings Södra;Halmstad;1.87;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;N;N;N;N;N;N
532938;679;683;2019;complete;4236;2;-1;82;39;1;1;2;4;3;7;1;1;0;2;0;0;6;3;10;5;16;8;20;22;55;45;0;2;2.5;3.15;2.8;1.05;1.34;2.05;3.75;8;8.75;3.1;1.71;1.25;1.08;1.83;1.91;3;1.3;3.25;1.33;1.4;1.33;1.5;3.28;2.2;3.58;2.75;2.35;2.9;0;0;0;0;0;1.8;0;0;0;0;1.9;0;1.88;7.5;2.3;1.91;8.5;2.1;4.1;4.2;0;0;0;0;0;0;0;0;1.42;3.13;9;26;2.87;1.35;1.07;1.01;0;0;0;0;2;0;1;1;0;1;1;2019-04-05 17:00:00;-1;0;0;0;0;0;1;1;0;1;4;2;1;6;0;0;0;2;0;2;1;74;49;94;68;1.96;1.07;3.03;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;GAIS;Öster;0.93;0.73;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;Y;N;N;N;N;Y
532939;680;652;2019;complete;4236;2;-1;38,44;17;2;1;3;4;6;10;1;3;2;2;0;0;6;8;5;10;11;18;14;8;39;61;2;2;2.6;3.15;2.65;1.06;1.36;2.1;3.9;8;8.5;3.05;1.69;1.24;1.07;1.83;1.87;3.05;1.29;3;1.36;1.44;1.33;1.44;3.49;2.16;3.47;2.85;2.35;2.8;0;0;0;0;1.72;0;0;0;0;2;0;0;2.08;7;2.08;2;8;2;4.25;3.9;0;0;0;0;0;0;0;0;1.45;3.28;10;26;2.76;1.32;1.06;1.01;0;0;0;0;3;2;1;0;0;0;3;2019-04-06 11:30:00;680;0;0;0;0;0;1;1;3;0;1;6;3;7;0;1;2;1;1;3;1;50;99;103;133;1.48;2.41;3.89;1;0;1;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;Degerfors;Jönköpings Södra;1.93;1.6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1849;30;Y;Y;Y;N;N;N;Y
