;ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
0;2465581;1074;1080;2022/2023;complete;90930;1;-1;11,55;11,55;2;2;4;8;9;17;-1;-1;-1;-1;-1;-1;7;5;6;4;13;9;-1;-1;49;51;-1;-1;1.95;3.6;1.8;1.01;1.22;1.7;2.8;5.15;10.5;3.82;2.1;1.38;1.12;1.62;2.2;0;0;0;0;1.45;1.25;1.47;3.0;2.25;3.0;2.75;2.5;2.75;0;0;1.29;1.62;2.2;2.49;3.6;3.3;2.26;1.81;1.51;1.25;2.14;6.6;2.03;2.05;10.75;1.83;5.0;4.6;1.36;2.63;7.0;19;3.0;1.44;1.1;1.02;1.18;1.83;3.75;9.0;4.5;1.83;1.25;1.07;0;0;0;0;3;1;1;1;0;1;2;2022-07-15;1074;0;0;0;0;0;1;-1;4;4;4;5;8;9;-1;-1;-1;-1;-1;-1;1;72;77;112;124;1.83;1.48;3.32;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Yverdon Sport;Stade Lausanne-Ouchy;2.0;1.75;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;Y;N;N;N;Y
1;2465580;902;888;2022/2023;complete;90930;1;-1;45;45;1;1;2;5;7;12;-1;-1;-1;-1;-1;-1;5;13;7;8;12;21;-1;-1;50;50;-1;-1;1.72;3.75;2.05;1.03;1.17;1.48;2.4;4.0;13.0;4.75;2.6;1.54;1.22;1.44;2.63;0;0;0;0;1.22;1.2;1.8;2.75;2.5;2.88;2.5;2.75;2.63;0;0;1.21;1.4;2.1;2.15;3.0;3.95;2.7;2.04;1.68;1.34;1.78;7.0;2.53;1.73;18.75;2.05;4.8;6.0;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;1.13;1.62;2.75;6.0;6.0;2.2;1.4;1.13;0;0;0;0;1;1;0;0;0;0;1;2022-07-15;902;0;0;0;0;0;1;-1;3;2;2;5;5;7;-1;-1;-1;-1;-1;-1;1;45;80;80;76;1.43;2.79;4.23;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;FC Schaffhausen;Thun;1.0;1.11;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;N;N;N;N;N;N
2;2465582;897;893;2022/2023;complete;90930;1;-1;10;10;1;1;2;2;4;6;-1;-1;-1;-1;-1;-1;3;4;5;12;8;16;-1;-1;48;52;-1;-1;1.4;4.0;2.8;1.02;1.14;1.44;2.15;3.5;17.0;5.25;2.7;1.61;1.28;1.44;2.63;0;0;0;0;1.15;1.15;2.2;2.3;2.5;3.6;2.0;2.95;3.5;0;0;0.0;1.27;1.53;1.69;2.11;0.0;3.4;2.43;2.14;1.71;1.3;8.4;4.7;1.5;25.0;2.5;4.0;8.5;1.22;2.1;4.5;11;4.0;1.67;1.18;1.05;1.13;1.57;2.75;6.0;6.0;2.25;1.4;1.13;0;0;0;0;2;1;0;0;1;1;1;2022-07-15;-1;0;0;0;0;0;1;-1;1;2;1;2;3;3;-1;-1;-1;-1;-1;-1;1;66;90;96;129;1.2;1.94;3.14;-1;-1;-1;-1;-1;-1;-1;1;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Aarau;Vaduz;1.44;0.75;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;N;N;N;N;Y
3;2465583;1146;895;2022/2023;complete;90930;1;-1;66;66;1;1;2;2;8;10;-1;-1;-1;-1;-1;-1;6;4;3;11;9;15;-1;-1;40;60;-1;-1;2.15;3.8;1.63;1.03;1.2;1.62;2.65;4.33;11.0;4.2;2.25;1.44;1.2;1.57;2.25;0;0;0;0;1.78;1.26;1.31;3.25;2.3;2.75;3.0;2.65;2.4;0;0;1.34;1.63;2.1;2.85;4.0;3.0;2.12;1.65;1.37;1.21;2.33;7.6;1.88;2.38;12.5;1.62;5.5;4.4;1.3;2.5;6.0;17;3.4;1.5;1.13;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;1;0;0;1;0;1;0;2022-07-16;1146;0;0;0;0;0;1;-1;2;7;0;1;9;1;-1;-1;-1;-1;-1;-1;1;26;43;58;74;1.18;1.53;2.71;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Bellinzona;Lausanne Sport;1.33;0.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;N;N;N;N;N;N
4;2465584;899;900;2022/2023;complete;90930;1;-1;32,42;32,42;2;2;4;5;3;8;-1;-1;-1;-1;-1;-1;5;5;6;5;11;10;-1;-1;40;60;-1;-1;2.38;3.4;2.5;1.02;1.17;1.54;2.25;4.0;12.0;4.75;2.4;1.57;1.22;1.44;2.63;0;0;0;0;1.37;1.26;1.7;2.4;2.4;3.5;2.2;2.75;3.25;0;0;1.22;1.4;2.1;2.09;3.05;3.85;2.72;2.15;1.72;1.33;1.63;8.0;2.82;1.57;14.0;2.3;4.2;6.5;1.29;2.25;5.5;15;3.5;1.57;1.14;1.03;1.14;1.67;3.0;6.5;5.5;2.1;1.36;1.11;0;0;0;0;2;2;0;0;0;0;2;2022-07-17;899;0;0;0;0;0;1;-1;2;1;3;2;3;5;-1;-1;-1;-1;-1;-1;1;68;74;86;127;1.53;1.53;3.06;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Wil;Neuchâtel Xamax;2.75;0.25;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;N;N;N;N;N
5;2465586;895;902;2022/2023;complete;90930;2;-1;11,24,75,78,90;11,24,75,78,90;5;5;10;8;2;10;-1;-1;-1;-1;-1;-1;9;8;4;6;13;14;-1;-1;54;46;-1;-1;1.8;4.33;3.8;1.03;1.2;1.57;2.4;4.33;11.0;4.33;2.35;1.54;1.2;1.62;2.2;0;0;0;0;1.4;1.25;1.6;2.3;2.38;4.0;2.05;2.5;3.75;0;0;1.24;1.45;2.25;2.35;3.2;3.65;2.55;2.0;1.52;1.3;1.56;9.1;3.12;1.5;13.0;2.5;3.6;7.0;1.29;2.3;5.0;11;3.5;1.57;1.14;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;6;2;1;3;0;3;3;2022-07-22;895;0;0;0;0;0;1;-1;4;0;4;2;4;6;-1;-1;-1;-1;-1;-1;1;74;60;93;95;1.98;1.88;3.86;-1;-1;-1;-1;-1;-1;-1;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Lausanne Sport;FC Schaffhausen;2.5;0.89;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;Y;Y;Y;Y;Y
6;2465585;900;897;2022/2023;complete;90930;2;-1;37;37;1;1;2;7;2;9;-1;-1;-1;-1;-1;-1;6;4;1;6;7;10;-1;-1;36;64;-1;-1;3.6;4.2;1.85;1.02;1.17;1.5;2.4;3.75;12.0;4.5;2.5;1.53;1.25;1.5;2.5;0;0;0;0;2.05;1.22;1.2;3.6;2.4;2.3;3.4;2.62;2.1;0;0;1.21;1.38;2.1;2.16;2.95;4.0;2.75;2.05;1.65;1.35;3.32;8.6;1.48;2.38;13.0;1.53;7.0;4.33;1.29;2.3;4.75;11;3.5;1.57;1.15;1.03;1.14;1.67;3.0;6.5;5.5;2.1;1.36;1.11;0;0;0;0;3;1;1;0;1;1;2;2022-07-22;897;0;0;0;0;0;1;-1;3;0;4;2;3;6;-1;-1;-1;-1;-1;-1;1;53;71;88;95;1.25;1.43;2.68;-1;-1;-1;-1;-1;-1;-1;1;0;0;2;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Neuchâtel Xamax;Aarau;1.11;1.38;0.0;0.0;0.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;Y;N;N;N;Y
7;2465587;888;1146;2022/2023;complete;90930;2;-1;29;29;1;1;2;4;3;7;-1;-1;-1;-1;-1;-1;7;3;5;2;12;5;-1;-1;58;42;-1;-1;1.75;4.2;4.2;1.03;1.2;1.53;2.5;4.33;11.0;4.33;2.4;1.5;1.2;1.57;2.25;0;0;0;0;1.15;1.25;2.2;2.25;2.4;4.0;2.0;2.6;3.75;0;0;1.24;1.45;2.25;2.35;3.2;3.65;2.55;1.98;1.52;1.3;1.47;10.0;3.46;1.5;12.0;2.6;3.4;8.5;1.29;2.25;5.0;11;3.5;1.6;1.14;1.03;1.14;1.73;3.4;8.0;5.5;2.0;1.3;1.08;0;0;0;0;2;1;0;0;1;1;1;2022-07-22;-1;0;0;0;0;0;1;-1;3;1;1;2;4;3;-1;-1;-1;-1;-1;-1;1;101;73;194;147;2.0;1.08;3.07;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Thun;Bellinzona;1.38;1.38;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;N;N;N;N;Y
8;2465588;1080;899;2022/2023;complete;90930;2;-1;35,50;35,50;2;2;4;6;5;11;-1;-1;-1;-1;-1;-1;7;3;8;6;15;9;-1;-1;49;51;-1;-1;2.05;4.0;3.2;1.02;1.17;1.48;2.25;3.75;12.0;4.75;2.6;1.62;1.25;1.44;2.63;0;0;0;0;1.28;1.2;1.75;2.4;2.4;3.5;2.25;2.75;3.2;0;0;1.2;1.4;1.83;2.13;2.76;3.95;2.72;2.06;1.67;1.38;1.69;8.3;2.62;1.62;15.0;2.3;4.2;7.0;1.3;2.21;5.0;11;3.4;1.61;1.14;1.03;1.14;1.67;3.0;6.5;5.5;2.1;1.36;1.11;0;0;0;0;3;1;1;1;0;1;2;2022-07-23;1080;0;0;0;0;0;1;-1;4;2;2;3;6;5;-1;-1;-1;-1;-1;-1;1;56;58;80;88;1.84;1.2;3.04;-1;-1;-1;-1;-1;-1;-1;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Stade Lausanne-Ouchy;Wil;2.11;1.22;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;Y;N;N;N;Y
9;2465589;893;1074;2022/2023;complete;90930;2;-1;3,84,90;3,84,90;3;3;6;5;3;8;-1;-1;-1;-1;-1;-1;5;5;7;6;12;11;-1;-1;53;47;-1;-1;1.54;3.75;4.09;1.03;1.17;1.57;2.4;4.0;11.0;4.75;2.25;1.53;1.22;1.57;2.25;0;0;0;0;1.18;1.18;1.9;2.3;2.38;4.0;2.0;2.75;4.0;0;0;1.2;1.4;2.0;2.18;2.93;3.94;2.72;2.01;1.63;1.34;1.46;8.5;3.44;1.53;18.0;2.6;3.3;8.0;1.29;2.38;5.5;15;3.5;1.53;1.14;1.03;1.17;1.8;3.5;8.0;5.0;1.91;1.29;1.08;0;0;0;0;6;1;2;2;1;3;3;2022-07-24;-1;0;0;0;0;0;1;-1;1;0;4;3;1;7;-1;-1;-1;-1;-1;-1;1;61;48;105;103;1.55;1.4;2.95;-1;-1;-1;-1;-1;-1;-1;1;1;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;Vaduz;Yverdon Sport;1.11;1.44;0.0;0.0;1.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7496;17;Y;Y;Y;Y;Y;Y;Y
