ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2470336;94;896;2022/2023;complete;90945;1;-1;62,77,80,85;;4;0;4;2;3;5;0;0;4;3;0;0;8;5;5;5;13;10;14;13;62;38;4;3;1.53;4.33;5.5;1.02;1.13;1.4;2.1;3.53;15.0;5.95;2.75;1.7;1.3;1.53;2.38;2.75;1.4;6.75;1.09;1.17;1.21;2.35;2.05;2.6;5.0;1.8;2.95;4.5;0;0;1.18;1.36;1.63;2.1;2.8;4.2;2.8;2.05;1.61;1.35;1.26;13.25;4.85;1.36;23.0;3.0;3.0;11.0;1.25;2.1;4.5;13.0;3.75;1.67;1.18;1.04;1.13;1.65;2.95;6.25;5.25;2.1;1.34;1.1;0;0;0;0;4;0;0;4;0;4;0;2022-07-16;94;0;0;0;0;0;1;1;2;1;0;2;3;2;3;0;1;3;3;4;1;57;42;89;82;1.79;1.29;3.08;0;1;0;0;0;1;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Young Boys;Zurich;2.5;0.75;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;Y;Y;Y;N;N;N
2470337;903;79;2022/2023;complete;90945;1;-1;3;70;1;1;2;11;3;14;0;0;3;4;0;0;3;6;5;4;8;10;21;10;34;66;3;4;3.6;3.6;1.95;1.02;1.18;1.5;2.3;4.14;14.0;4.97;2.4;1.6;1.23;1.5;2.5;5.25;1.14;3.4;1.28;1.8;1.26;1.31;3.75;2.4;2.5;3.4;2.75;2.2;0;0;1.2;1.39;1.7;2.2;2.95;3.9;2.65;1.98;1.57;1.32;2.23;7.9;2.0;2.38;19.0;1.57;7.0;4.0;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.14;1.68;3.1;6.75;5.0;2.05;1.32;1.09;0;0;0;0;2;1;0;0;1;1;1;2022-07-16;-1;0;0;0;0;0;1;1;8;1;3;2;9;5;0;1;3;3;1;6;1;77;73;104;127;1.28;1.59;2.87;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Winterthur;Basel;1.38;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;Y;N;N;N;N;Y
2470338;894;889;2022/2023;complete;90945;1;-1;61,88;43,59,85;2;3;5;9;7;16;1;2;0;0;1;0;6;6;9;7;15;13;8;12;58;42;2;0;1.85;3.4;4.0;1.05;1.27;1.87;3.11;5.91;9.25;3.73;1.83;1.37;1.13;1.8;1.91;2.5;1.47;4.33;1.19;1.24;1.28;1.9;2.5;2.2;4.5;2.2;2.5;4.0;0;0;1.24;1.46;1.95;2.4;3.3;3.5;2.4;1.85;1.47;1.26;1.55;8.5;3.01;1.53;9.4;2.63;3.0;6.5;1.4;2.75;8.0;21.0;2.75;1.4;1.08;1.02;1.23;2.05;4.33;10.5;3.8;1.68;1.19;1.04;0;0;0;0;5;0;1;2;2;4;1;2022-07-17;889;0;0;0;0;0;1;1;3;4;6;3;7;9;0;0;1;0;0;1;1;78;45;103;91;1.93;1.57;3.5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Lugano;Sion;1.5;1.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;Y;Y;Y;Y;N;Y
2470339;898;891;2022/2023;complete;90945;1;-1;5;;1;0;1;6;4;10;0;2;1;2;0;0;3;3;5;10;8;13;12;10;36;64;1;2;2.3;3.5;2.7;1.02;1.16;1.5;2.2;3.75;14.5;4.75;2.5;1.6;1.23;1.44;2.63;4.0;1.21;4.33;1.19;1.47;1.25;1.57;2.88;2.4;3.2;2.5;2.75;2.88;0;0;1.24;1.46;1.85;2.37;3.3;3.5;2.45;1.95;1.47;1.27;1.91;8.0;2.2;1.73;19.5;2.1;5.0;5.5;1.29;2.25;5.5;15.0;3.5;1.57;1.14;1.03;1.14;1.7;3.1;6.75;5.0;2.0;1.31;1.09;0;0;0;0;1;1;0;0;0;0;1;2022-07-17;898;0;0;0;0;0;1;1;2;1;4;3;3;7;0;1;1;1;1;2;1;54;88;90;112;1.11;1.67;2.78;0;0;0;0;0;0;1;1;1;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Servette;St. Gallen;2.0;0.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;N;N;N;N;N;N
2470340;896;890;2022/2023;complete;90945;2;-1;;;0;0;0;3;7;10;0;5;1;3;0;1;4;6;11;11;15;17;9;13;60;40;1;4;2.0;3.85;3.22;1.02;1.17;1.53;2.32;4.0;12.0;4.5;2.4;1.57;1.22;1.5;2.5;3.5;1.27;5.0;1.15;1.3;1.25;1.75;2.4;2.4;3.4;2.3;2.62;3.2;0;0;1.18;1.3;1.55;2.0;2.5;4.5;3.3;2.38;1.8;1.49;1.79;8.2;2.53;1.73;15.0;2.2;4.0;7.0;1.25;2.2;4.5;11.0;3.75;1.62;1.17;1.03;1.17;1.7;3.4;7.0;4.5;2.05;1.3;1.08;0;0;0;0;0;0;0;0;0;0;0;2022-07-23;-1;0;0;0;0;0;1;1;1;6;2;1;7;3;0;1;1;3;1;4;1;61;82;87;92;1.66;2.08;3.74;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Zurich;Luzern;0.75;1.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;N;N;N;N;N;N;N
2470341;891;903;2022/2023;complete;90945;2;-1;20,40;;2;0;2;4;3;7;3;1;2;4;1;0;5;3;15;10;20;13;8;11;55;45;3;4;1.84;4.05;3.58;1.02;1.17;1.5;2.28;3.75;12.0;4.5;2.48;1.58;1.25;1.51;2.4;3.2;1.31;5.5;1.13;1.28;1.25;1.9;2.35;2.35;3.8;2.1;2.75;3.5;0;0;1.2;1.38;1.67;2.12;2.85;4.25;2.88;2.12;1.66;1.38;1.53;8.6;3.25;1.67;13.0;2.38;3.6;7.5;1.27;2.2;5.0;12.5;3.5;1.58;1.15;1.03;1.15;1.7;3.1;6.75;5.0;2.0;1.31;1.09;0;0;0;0;2;2;0;0;0;0;2;2022-07-23;891;0;0;0;0;0;1;1;4;1;0;2;5;2;1;2;2;2;3;4;1;96;73;82;76;2.29;1.55;3.84;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;St. Gallen;Winterthur;2.13;0.63;0.0;0.0;0.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;Y;N;N;N;N;N
2470342;79;898;2022/2023;complete;90945;2;-1;45;87;1;1;2;6;2;8;0;1;3;5;0;0;5;4;12;10;17;14;8;6;64;36;3;5;1.66;3.78;3.82;1.02;1.16;1.5;2.25;3.7;13.5;4.75;2.48;1.57;1.24;1.5;2.5;3.25;1.3;5.5;1.13;1.28;1.25;1.88;2.4;2.5;4.0;2.1;2.75;3.5;0;0;1.26;1.5;1.9;2.44;3.34;3.48;2.52;1.9;1.53;1.28;2.01;7.7;2.23;1.53;13.0;2.4;3.8;7.0;1.25;2.2;5.0;15.0;3.75;1.62;1.17;1.03;1.15;1.7;3.1;6.75;5.0;2.0;1.31;1.09;0;0;0;0;2;1;0;0;1;1;1;2022-07-24;-1;0;0;0;0;0;1;1;1;1;5;1;2;6;0;3;3;2;3;5;1;94;40;119;89;2.1;1.45;3.55;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Basel;Servette;1.63;1.13;0.0;0.0;1.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;Y;N;N;N;N;Y
2470344;889;94;2022/2023;complete;90945;2;-1;;2,6,88;0;3;3;4;6;10;0;1;2;3;0;0;9;5;7;7;16;12;10;14;50;50;2;3;4.2;4.25;1.65;1.02;1.16;1.5;2.25;3.75;13.5;4.75;2.48;1.57;1.23;1.53;2.38;6.0;1.11;2.87;1.37;2.1;1.23;1.21;4.33;2.5;2.25;4.0;2.8;2.0;0;0;1.21;1.43;1.77;2.25;2.98;3.92;2.74;2.05;1.62;1.34;4.75;9.8;1.31;2.63;13.0;1.5;9.0;3.4;1.25;2.2;5.0;15.0;3.75;1.62;1.17;1.03;1.15;1.7;3.2;6.75;5.0;2.0;1.31;1.09;0;0;0;0;3;0;2;0;1;1;2;2022-07-24;94;0;0;0;0;0;1;1;2;4;2;2;6;4;2;1;0;2;3;2;1;82;56;121;118;2.23;1.52;3.75;0;0;0;0;0;0;1;1;0;2;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Sion;Young Boys;1.0;1.88;0.0;0.0;3.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;Y;Y;N;N;N;N
2470343;892;894;2022/2023;complete;90945;2;-1;12,47;79;2;1;3;3;8;11;1;2;1;0;0;0;8;6;5;13;13;19;10;10;38;62;1;0;2.14;3.55;3.0;1.05;1.25;1.97;2.85;5.25;10.0;3.6;1.9;1.36;1.13;1.67;2.1;2.95;1.36;4.0;1.21;1.33;1.29;1.7;2.75;2.25;3.75;2.4;2.55;3.25;0;0;1.29;1.56;2.0;2.6;3.54;3.26;2.36;1.81;1.47;1.25;1.52;8.3;3.36;1.67;11.0;2.38;3.8;5.8;1.36;2.63;7.0;19.0;3.0;1.44;1.1;1.02;1.21;1.95;4.0;9.25;4.0;1.75;1.21;1.05;0;0;0;0;3;1;0;1;1;2;1;2022-07-24;892;0;0;0;0;0;1;1;0;2;3;6;2;9;0;0;1;0;0;1;1;38;92;72;111;1.65;2.28;3.93;0;1;0;1;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Grasshopper;Lugano;1.75;1.38;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7504;16;Y;Y;Y;N;N;N;Y
2470345;891;896;2022/2023;complete;90945;3;-1;20,45;;2;0;2;6;8;14;0;5;1;4;1;0;9;9;6;5;15;14;7;14;43;57;3;4;1.97;4.2;3.15;1.02;1.14;1.45;2.25;3.6;12.0;5.0;2.63;1.57;1.25;1.42;2.75;3.7;1.25;5.25;1.14;1.25;1.18;1.83;2.4;2.45;3.5;2.2;2.6;3.5;0;0;1.2;1.38;1.67;2.12;2.85;4.25;2.88;2.12;1.66;1.38;1.64;8.5;2.66;1.73;19.5;2.25;4.2;7.5;1.24;2.13;4.45;10.0;3.7;1.65;1.17;1.04;1.15;1.7;3.25;6.0;4.75;2.05;1.33;1.11;0;0;0;0;2;2;0;0;0;0;2;2022-07-30;891;0;0;0;0;0;1;1;4;2;2;6;6;8;1;1;1;3;2;4;1;82;90;103;109;2.16;2.16;4.33;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;50;50;100;100;50;50;50;50;7.0;3.0;6.0;3.0;St. Gallen;Zurich;2.13;0.75;3.0;0.0;1.5;0.5;100;50;50;0;0;0;0;0;2.29;1.29;3.58;7504;16;Y;Y;N;N;N;N;N
