ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2673786;1173;8384;2022/2023;complete;91522;1;-1;43,82;;2;0;2;4;3;7;-1;-1;0;3;0;0;12;3;4;1;16;4;-1;-1;54;46;0;3;1.23;5.0;8.0;1.01;1.16;1.48;2.38;3.75;15.0;4.4;2.29;1.52;1.21;1.87;1.89;0;0;0;0;1.04;1.12;3.28;1.76;2.78;7.83;1.57;3.15;7.0;0;0;0.0;1.5;1.87;2.4;0.0;0.0;2.45;1.87;1.53;0.0;1.18;10.0;7.4;1.27;14.0;3.65;2.05;17.0;1.25;2.33;4.5;13.0;3.6;1.53;1.17;1.02;1.13;1.76;3.1;7.5;5.1;1.95;1.32;1.07;0;0;0;0;2;1;0;1;0;1;1;2022-08-12;1173;0;0;0;0;0;1;1;3;0;1;3;3;4;0;0;0;3;0;3;1;73;54;115;103;2.38;0.87;3.24;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Bangkok United;Khon Kaen United;2.29;0.5;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;Y;N;N;N;N;N
2673787;1188;1186;2022/2023;complete;91522;1;-1;1;23,49;1;2;3;2;5;7;-1;-1;2;1;0;0;6;6;4;8;10;14;-1;-1;45;55;2;1;5.8;4.4;1.39;1.03;1.26;1.88;2.98;5.75;11.0;3.34;1.98;1.32;1.11;1.99;1.78;0;0;0;0;2.5;1.22;1.07;6.47;2.36;2.06;6.05;2.68;1.79;0;0;0.0;1.5;1.87;2.4;2.65;0.0;2.45;1.87;1.53;1.43;3.46;7.0;1.55;3.66;8.6;1.4;12.0;2.15;1.38;2.88;6.0;21.0;3.03;1.41;1.09;1.01;1.21;2.03;4.1;9.0;3.9;1.7;1.2;1.05;0;0;0;0;3;1;1;0;1;1;2;2022-08-13;1186;0;0;0;0;0;1;1;1;4;1;1;5;2;1;0;1;1;1;2;1;99;112;105;137;1.76;2.11;3.88;0;0;0;0;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Nakhon Ratchasima;Buriram United;1.44;2.71;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;Y;Y;N;N;N;Y
2673788;8378;8371;2022/2023;complete;91522;1;-1;46;;1;0;1;1;7;8;-1;-1;1;2;0;0;2;5;5;8;7;13;-1;-1;48;52;1;2;2.47;3.3;2.68;1.03;1.3;2.01;3.36;6.6;8.8;3.26;1.8;1.29;1.08;1.78;1.93;0;0;0;0;1.46;1.32;1.49;3.25;2.05;3.25;2.9;2.46;2.9;0;0;1.36;1.49;1.85;2.45;3.35;3.0;2.48;1.95;1.5;1.29;1.92;6.5;2.5;2.0;10.0;2.0;4.4;4.4;1.4;2.9;6.7;24.0;2.7;1.35;1.07;1.02;1.25;2.2;4.6;10.0;3.6;1.6;1.16;1.04;0;0;0;0;1;0;0;1;0;1;0;2022-08-13;8378;0;0;0;0;0;1;1;0;5;1;2;5;3;0;0;1;2;0;3;1;73;73;125;123;1.12;1.7;2.83;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Lampang;Nong Bua Pitchaya;0.86;0.14;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;N;N;N;N;N;N
2673789;1171;1174;2022/2023;complete;91522;1;-1;81;;1;0;1;4;3;7;-1;-1;1;3;0;0;5;2;5;1;10;3;-1;-1;47;53;1;3;2.82;3.45;2.1;1.02;1.22;1.66;2.84;5.0;13.0;3.64;1.97;1.35;1.13;1.63;2.22;0;0;0;0;1.6;1.28;1.33;3.7;2.3;2.82;3.28;2.53;2.52;0;0;1.3;1.5;1.87;2.4;0.0;3.2;2.45;1.87;1.53;0.0;2.75;6.5;1.79;2.22;9.6;1.82;6.0;3.6;1.34;2.72;5.4;18.0;3.2;1.45;1.12;1.01;1.18;1.96;3.7;9.0;4.3;1.75;1.24;1.05;0;0;0;0;1;0;0;1;0;1;0;2022-08-13;1171;0;0;0;0;0;1;1;2;1;2;2;3;4;0;0;1;3;0;4;1;66;44;95;76;1.46;0.66;2.12;1;0;1;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Ratchaburi;Muang Thong United;2.0;0.78;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;N;N;N;N;N;N
2673790;1177;9887;2022/2023;complete;91522;1;-1;;;0;0;0;3;7;10;-1;-1;1;3;0;0;5;4;8;9;13;13;-1;-1;48;52;1;3;1.55;3.5;5.0;1.03;1.2;1.7;2.7;4.6;13.0;3.9;1.98;1.4;1.16;1.68;2.13;0;0;0;0;1.17;1.17;2.1;2.2;2.3;4.5;2.02;2.8;4.42;0;0;0.0;0.0;1.53;1.87;2.4;0.0;0.0;2.4;1.87;1.53;1.26;9.0;5.8;1.44;11.0;3.0;2.75;8.5;1.35;2.6;6.2;13.0;3.0;1.45;1.09;1.02;1.17;1.83;3.64;9.0;4.4;1.87;1.25;1.05;0;0;0;0;0;0;0;0;0;0;0;2022-08-14;-1;0;0;0;0;0;1;1;1;3;2;4;4;6;0;1;1;2;1;3;1;100;90;126;128;1.89;1.75;3.65;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Port FC;Lamphun Warrior;1.88;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;N;N;N;N;N;N;N
2673792;1172;7038;2022/2023;complete;91522;1;-1;;32,68,88;0;3;3;8;6;14;-1;-1;2;0;0;0;2;9;15;8;17;17;-1;-1;54;46;2;0;2.45;3.1;2.5;1.01;1.22;1.89;2.8;5.4;11.0;3.8;1.97;1.38;1.12;1.65;2.18;0;0;0;0;1.45;1.25;1.45;3.1;2.2;3.0;2.85;2.7;2.75;0;0;0.0;1.46;1.53;1.87;2.4;0.0;2.55;2.4;1.87;1.53;2.12;7.4;2.12;2.1;11.0;1.83;4.75;4.4;1.33;2.65;5.9;13.0;3.05;1.43;1.1;1.02;1.18;1.95;4.14;9.0;4.3;1.75;1.19;1.05;0;0;0;0;3;0;1;0;2;2;1;2022-08-14;7038;0;0;0;0;0;1;1;3;2;5;4;5;9;1;0;1;0;1;1;1;65;64;83;67;1.67;2.15;3.83;0;1;0;1;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Sukhothai;Prachuap;1.29;0.57;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;Y;Y;N;N;N;N
2673791;1184;1187;2022/2023;complete;91522;1;-1;28;;1;0;1;2;3;5;-1;-1;2;1;0;0;4;3;7;10;11;13;-1;-1;44;56;2;1;1.6;3.4;4.75;1.05;1.3;1.98;3.25;5.5;9.0;3.4;1.84;1.33;1.12;1.85;1.91;0;0;0;0;1.15;1.25;2.15;2.15;2.25;4.75;2.0;2.4;4.75;0;0;1.35;1.5;1.87;2.4;0.0;3.0;2.45;1.87;1.53;0.0;1.41;7.7;4.22;1.46;13.0;2.8;2.62;8.5;1.36;2.63;6.0;13.0;3.0;1.45;1.11;1.02;1.29;2.1;4.5;10.0;3.5;1.67;1.17;1.04;0;0;0;0;1;1;0;0;0;0;1;2022-08-14;1184;0;0;0;0;0;1;1;2;1;0;2;3;2;1;1;1;0;2;1;1;42;65;70;90;1.28;1.5;2.78;1;0;1;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Chiangrai United;BEC Tero Sasana;2.43;1.14;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;N;N;N;N;N;N
2673793;1186;1172;2022/2023;complete;91522;2;-1;9,30,37,41,51,89;90;6;1;7;10;3;13;-1;-1;0;2;0;0;12;2;2;4;14;6;-1;-1;53;47;0;2;1.16;5.2;11.0;1.02;1.21;1.57;2.69;4.6;16.25;3.74;2.38;1.38;1.16;2.25;1.55;0;0;0;0;1.05;1.11;3.0;1.62;2.5;10.0;1.48;3.05;8.75;0;0;0.0;0.0;1.42;1.7;2.1;0.0;0.0;2.75;2.1;1.67;1.26;9.5;5.4;1.23;13.75;4.6;1.7;21.0;1.32;2.52;5.2;13.0;3.1;1.46;1.12;1.02;1.17;1.93;3.6;9.0;4.4;1.78;1.25;1.05;0;0;0;0;7;4;0;2;1;3;4;2022-08-19;1186;0;0;0;0;0;1;1;4;1;6;2;5;8;0;2;0;0;2;0;1;94;66;95;107;2.39;1.01;3.4;0;0;0;0;0;0;1;1;1;0;0;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Buriram United;Sukhothai;2.5;1.13;0.0;0.0;3.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;Y;Y;Y;Y;Y;Y
2673794;1187;1180;2022/2023;complete;91522;2;-1;;32,45;0;2;2;7;1;8;-1;-1;4;2;0;0;3;5;12;3;15;8;-1;-1;64;36;4;2;2.8;3.05;2.3;1.01;1.23;1.84;2.88;5.25;10.25;3.56;1.87;1.34;1.1;1.64;2.2;0;0;0;0;1.58;1.27;1.36;3.67;2.26;2.89;3.24;2.52;2.56;0;0;1.4;1.55;1.94;2.52;0.0;2.8;2.3;1.77;1.46;0.0;2.15;6.9;2.15;2.16;9.9;1.85;5.0;4.0;1.36;2.8;5.6;18.0;3.11;1.43;1.11;1.01;1.19;2.0;3.8;9.0;4.2;1.72;1.22;1.05;0;0;0;0;2;0;2;0;0;0;2;2022-08-20;1180;0;0;0;0;0;1;1;1;1;6;0;2;6;3;1;1;1;4;2;1;85;49;179;112;1.79;1.22;3.01;0;0;0;0;0;0;1;1;0;0;0;0;1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;BEC Tero Sasana;Chonburi;1.75;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;Y;N;N;N;N;N
2673795;8371;1173;2022/2023;complete;91522;2;-1;;32;0;1;1;1;4;5;-1;-1;1;4;0;0;5;4;5;5;10;9;-1;-1;45;55;1;4;3.85;3.1;1.82;1.03;1.36;2.0;3.74;7.0;7.75;2.79;1.73;1.21;1.03;1.94;1.82;0;0;0;0;1.62;1.27;1.2;4.67;2.12;2.65;4.14;2.35;2.34;0;0;1.33;1.6;2.0;2.6;0.0;3.1;2.25;1.75;1.45;0.0;2.5;6.9;1.89;2.63;7.7;1.69;6.5;3.0;1.46;3.32;7.2;23.0;2.69;1.32;1.06;1.01;1.28;2.34;4.9;10.0;3.34;1.53;1.14;1.04;0;0;0;0;1;0;1;0;0;0;1;2022-08-20;1173;0;0;0;0;0;1;1;0;2;1;2;2;3;1;0;0;4;1;4;1;54;69;86;98;1.37;1.35;2.72;0;0;0;0;0;0;1;1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Nong Bua Pitchaya;Bangkok United;1.13;1.5;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7636;15;Y;N;N;N;N;N;N
