ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
2833289;10058;350;2022/2023;complete;92012;1;-1;;22,88;0;2;2;3;6;9;0;0;1;0;0;0;4;9;7;4;11;13;24;17;49;51;1;0;1.91;3.34;3.38;1.03;1.25;1.81;3.2;6.0;10.0;3.5;1.79;1.3;1.1;1.75;1.95;0;0;0;0;1.28;1.29;1.78;2.55;2.1;4.0;2.3;2.5;3.6;0;0;1.29;1.5;1.85;2.25;3.35;3.3;2.4;1.95;1.57;1.29;2.08;6.7;2.08;1.71;9.5;2.4;0;0;1.39;2.75;7.0;19.5;2.75;1.39;1.08;1.01;1.22;2.05;4.2;10.0;3.8;1.68;1.19;1.04;0;0;0;0;2;0;1;0;1;1;1;2022-08-12;350;0;0;0;0;0;1;1;0;3;3;3;3;6;1;0;0;0;1;0;1;63;58;83;86;1.43;1.87;3.3;0;0;0;0;0;0;1;1;0;0;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Altay;Samsunspor;1.13;1.63;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;14;Y;Y;N;N;N;N;N
2833288;10639;346;2022/2023;complete;92012;1;-1;74;;1;0;1;7;1;8;1;1;4;2;0;0;5;2;8;3;13;5;11;16;73;27;4;2;1.44;3.8;6.0;1.0;1.24;1.59;2.89;5.34;10.5;3.91;2.14;1.4;1.15;1.86;1.91;0;0;0;0;1.16;1.22;2.4;2.15;2.4;5.48;1.88;2.69;5.05;0;0;1.38;1.76;2.21;2.9;0.0;2.71;2.02;1.61;1.36;0.0;1.25;7.0;4.6;1.47;12.0;2.8;0;0;1.34;2.69;5.8;21.0;3.24;1.46;1.1;1.01;1.18;1.94;3.9;9.25;4.3;1.75;1.22;1.05;0;0;0;0;1;0;0;1;0;1;0;2022-08-13;10639;0;0;0;0;0;1;1;1;0;6;1;1;7;1;2;3;0;3;3;1;74;28;86;44;1.7;0.66;2.36;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Eyüpspor;Denizlispor;3.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;14;Y;N;N;N;N;N;N
2833290;10634;353;2022/2023;complete;92012;1;-1;;90;0;1;1;6;3;9;4;1;2;3;0;1;2;3;6;2;8;5;23;9;65;35;2;4;2.11;3.35;2.88;1.04;1.32;2.02;3.47;6.75;7.9;3.27;1.8;1.29;1.1;1.78;2.0;0;0;0;0;1.32;1.35;1.64;2.89;2.17;3.92;2.48;2.39;3.58;0;0;1.49;1.83;2.29;3.1;0.0;2.41;1.95;1.55;1.31;0.0;1.66;5.5;2.55;1.76;9.5;2.2;0;0;1.41;3.08;7.1;24.0;2.86;1.37;1.06;1.01;1.24;2.13;4.7;10.5;3.6;1.62;1.15;1.02;0;0;0;0;1;0;0;0;1;1;0;2022-08-13;353;0;0;0;0;0;1;1;5;2;1;1;7;2;1;2;1;2;3;3;1;98;62;106;102;1.35;0.98;2.34;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Manisa BBSK;Boluspor;1.63;1.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;13;Y;N;N;N;N;N;N
2833285;199;354;2022/2023;complete;92012;1;-1;12,28,43;7,17,45;3;3;6;4;3;7;1;1;0;1;0;0;10;8;5;6;15;14;12;4;49;51;0;1;1.93;3.45;3.2;1.0;1.23;1.82;2.87;5.26;10.5;4.0;2.0;1.4;1.15;1.75;2.05;0;0;0;0;1.21;1.25;2.12;2.32;2.37;4.77;2.03;2.63;4.4;0;0;1.34;1.59;1.97;2.47;3.5;3.0;2.23;1.81;1.46;1.26;1.46;6.0;3.15;1.57;11.0;2.55;0;0;1.33;2.67;6.4;20.0;3.26;1.47;1.08;1.01;1.21;1.93;4.2;9.25;3.9;1.76;1.18;1.05;0;0;0;0;6;3;3;0;0;0;6;2022-08-13;-1;0;0;0;0;0;1;1;2;1;1;2;3;3;0;1;0;0;1;0;1;77;45;101;82;2.2;1.77;3.97;1;1;0;1;1;0;1;1;0;1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Gençlerbirliği;Altınordu;0.14;1.14;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;13;Y;Y;Y;Y;Y;Y;Y
2833291;192;10636;2022/2023;complete;92012;1;-1;49;71;1;1;2;4;6;10;0;2;1;2;0;0;5;4;10;8;15;12;17;15;50;50;1;2;1.69;3.55;4.1;1.04;1.25;1.73;2.85;5.25;10.5;3.6;1.93;1.37;1.14;1.75;1.95;0;0;0;0;1.2;1.26;2.05;2.25;2.2;4.6;2.0;2.6;4.33;0;0;1.27;1.42;1.79;2.22;3.0;3.4;2.65;1.99;1.6;1.34;1.32;6.75;3.9;1.55;10.5;2.7;0;0;1.35;2.55;6.25;17.0;2.95;1.44;1.1;1.01;1.2;1.95;3.9;9.25;4.1;1.75;1.21;1.05;0;0;0;0;2;0;0;1;1;2;0;2022-08-13;-1;0;0;0;0;0;1;1;1;2;3;4;3;7;1;2;0;0;3;0;1;31;32;59;71;1.51;1.27;2.78;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Rizespor;Keçiörengücü;2.0;2.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;14;Y;Y;N;N;N;N;Y
2833292;10657;357;2022/2023;complete;92012;1;-1;;12;0;1;1;2;1;3;0;1;3;2;1;0;6;5;6;1;12;6;18;11;51;49;5;2;2.7;3.3;2.2;1.05;1.25;1.75;2.87;5.25;9.75;3.5;1.95;1.36;1.13;1.66;2.1;0;0;0;0;1.6;1.3;1.39;3.4;2.1;2.85;3.1;2.5;2.55;0;0;1.3;1.62;2.0;2.5;3.7;3.2;2.2;1.73;1.48;1.23;2.17;6.7;2.0;2.15;10.0;1.85;0;0;1.36;2.6;6.5;17.5;2.87;1.42;1.09;1.01;1.21;1.95;4.0;9.5;4.0;1.73;1.21;1.05;0;0;0;0;1;0;1;0;0;0;1;2022-08-14;357;0;0;0;0;0;1;1;2;0;0;1;2;1;1;1;3;1;2;4;1;83;64;118;106;1.78;1.2;2.98;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Sakaryaspor;Göztepe;2.0;0.86;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;13;Y;N;N;N;N;N;N
2833287;10649;352;2022/2023;complete;92012;1;-1;20,25,34;75;3;1;4;7;2;9;1;2;1;3;0;0;10;3;9;3;19;6;16;14;51;49;1;3;2.65;3.25;2.23;1.05;1.25;1.82;2.9;5.25;10.0;3.5;2.0;1.36;1.13;1.66;2.1;0;0;0;0;1.6;1.29;1.4;3.4;2.15;2.85;3.1;2.5;2.55;0;0;1.43;1.73;2.1;2.7;3.8;2.63;2.0;1.65;1.4;1.22;1.56;7.6;2.95;2.1;10.5;1.85;0;0;1.36;2.65;6.5;18.0;2.9;1.42;1.09;1.01;1.21;1.95;4.0;9.5;4.0;1.73;1.21;1.05;0;0;0;0;4;3;0;0;1;1;3;2022-08-14;10649;0;0;0;0;0;1;1;4;2;3;0;6;3;0;1;1;2;1;3;1;73;35;93;77;2.42;0.85;3.27;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;BB Bodrumspor;Yeni Malatyaspor;1.88;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;14;Y;Y;Y;Y;N;N;Y
2833293;1042;10650;2022/2023;complete;92012;1;-1;;;0;0;0;7;2;9;1;0;0;1;0;0;7;2;6;6;13;8;17;16;26;74;0;1;2.05;3.25;3.1;1.03;1.25;1.75;3.1;5.5;13.0;3.75;1.95;1.38;1.14;1.8;1.96;0;0;0;0;1.2;1.3;1.91;2.22;2.25;4.6;2.07;2.45;4.52;0;0;1.35;1.65;2.12;2.85;3.8;2.95;2.1;1.64;1.37;1.22;1.77;7.5;2.65;1.6;9.75;2.65;0;0;1.33;2.5;6.0;13.0;3.24;1.5;1.11;1.02;1.25;2.05;4.32;9.0;3.74;1.7;1.2;1.05;0;0;0;0;0;0;0;0;0;0;0;2022-08-15;-1;0;0;0;0;0;1;1;4;1;3;1;5;4;0;0;0;1;0;1;1;68;47;83;96;1.8;0.99;2.79;0;0;0;0;0;0;1;1;0;0;2;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;BB Erzurumspor;Pendikspor;1.14;1.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;14;N;N;N;N;N;N;N
2833286;190;10660;2022/2023;complete;92012;1;-1;30;45;1;1;2;3;5;8;0;2;2;1;0;0;4;6;7;10;11;16;13;14;62;38;2;1;2.2;3.1;2.9;1.05;1.33;1.95;3.75;7.0;11.0;3.25;1.75;1.28;1.09;1.85;1.91;0;0;0;0;1.4;1.3;1.55;3.02;2.0;3.54;2.82;2.2;3.3;0;0;1.55;1.93;2.44;3.5;0.0;2.4;1.87;1.53;1.26;0.0;1.87;6.6;2.43;1.9;7.75;2.1;0;0;1.4;2.75;7.0;15.0;2.75;1.4;1.08;1.02;1.29;2.2;4.5;10.0;3.5;1.62;1.17;1.04;0;0;0;0;2;1;1;0;0;0;2;2022-08-15;-1;0;0;0;0;0;1;1;2;2;1;3;4;4;0;1;2;0;1;2;1;59;49;94;78;1.4;1.78;3.18;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Adanaspor;Tuzlaspor;2.14;1.57;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;14;Y;Y;N;N;N;N;Y
2833295;353;199;2022/2023;complete;92012;2;-1;90;10,60;1;2;3;2;2;4;1;2;0;4;1;1;3;8;7;4;10;12;5;11;48;52;2;5;1.9;3.25;3.95;1.02;1.3;1.91;3.28;6.35;8.7;3.43;1.85;1.32;1.11;1.73;2.06;0;0;0;0;1.26;1.27;1.68;2.76;2.22;4.04;2.4;2.44;3.66;0;0;1.36;1.68;2.09;2.75;3.5;2.95;2.11;1.7;1.37;1.25;1.48;6.0;3.0;1.74;8.7;2.38;0;0;1.39;2.96;6.4;24.0;2.97;1.39;1.08;1.01;1.21;2.06;4.2;9.95;3.9;1.66;1.19;1.03;0;0;0;0;3;0;1;1;1;2;1;2022-08-19;199;0;0;0;0;0;1;1;0;1;2;1;1;3;1;2;0;3;3;3;1;37;28;98;81;1.12;1.52;2.64;0;0;0;0;0;0;1;1;0;1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;Boluspor;Gençlerbirliği;2.13;0.86;0.0;0.0;3.0;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;7770;14;Y;Y;Y;N;N;N;Y
