ID;HOMEID;AWAYID;SEASON;STATUS;ROUNDID;GAME_WEEK;REVISED_GAME_WEEK;HOMEGOALS;AWAYGOALS;HOMEGOALCOUNT;AWAYGOALCOUNT;TOTALGOALCOUNT;TEAM_A_CORNERS;TEAM_B_CORNERS;TOTALCORNERCOUNT;TEAM_A_OFFSIDES;TEAM_B_OFFSIDES;TEAM_A_YELLOW_CARDS;TEAM_B_YELLOW_CARDS;TEAM_A_RED_CARDS;TEAM_B_RED_CARDS;TEAM_A_SHOTSONTARGET;TEAM_B_SHOTSONTARGET;TEAM_A_SHOTSOFFTARGET;TEAM_B_SHOTSOFFTARGET;TEAM_A_SHOTS;TEAM_B_SHOTS;TEAM_A_FOULS;TEAM_B_FOULS;TEAM_A_POSSESSION;TEAM_B_POSSESSION;TEAM_A_CARDS_NUM;TEAM_B_CARDS_NUM;ODDS_FT_1;ODDS_FT_X;ODDS_FT_2;ODDS_FT_OVER05;ODDS_FT_OVER15;ODDS_FT_OVER25;ODDS_FT_OVER35;ODDS_FT_OVER45;ODDS_FT_UNDER05;ODDS_FT_UNDER15;ODDS_FT_UNDER25;ODDS_FT_UNDER35;ODDS_FT_UNDER45;ODDS_BTTS_YES;ODDS_BTTS_NO;ODDS_TEAM_A_CS_YES;ODDS_TEAM_A_CS_NO;ODDS_TEAM_B_CS_YES;ODDS_TEAM_B_CS_NO;ODDS_DOUBLECHANCE_1X;ODDS_DOUBLECHANCE_12;ODDS_DOUBLECHANCE_X2;ODDS_1ST_HALF_RESULT_1;ODDS_1ST_HALF_RESULT_X;ODDS_1ST_HALF_RESULT_2;ODDS_2ND_HALF_RESULT_1;ODDS_2ND_HALF_RESULT_X;ODDS_2ND_HALF_RESULT_2;ODDS_DNB_1;ODDS_DNB_2;ODDS_CORNERS_OVER_75;ODDS_CORNERS_OVER_85;ODDS_CORNERS_OVER_95;ODDS_CORNERS_OVER_105;ODDS_CORNERS_OVER_115;ODDS_CORNERS_UNDER_75;ODDS_CORNERS_UNDER_85;ODDS_CORNERS_UNDER_95;ODDS_CORNERS_UNDER_105;ODDS_CORNERS_UNDER_115;ODDS_CORNERS_1;ODDS_CORNERS_X;ODDS_CORNERS_2;ODDS_TEAM_TO_SCORE_FIRST_1;ODDS_TEAM_TO_SCORE_FIRST_X;ODDS_TEAM_TO_SCORE_FIRST_2;ODDS_WIN_TO_NIL_1;ODDS_WIN_TO_NIL_2;ODDS_1ST_HALF_OVER05;ODDS_1ST_HALF_OVER15;ODDS_1ST_HALF_OVER25;ODDS_1ST_HALF_OVER35;ODDS_1ST_HALF_UNDER05;ODDS_1ST_HALF_UNDER15;ODDS_1ST_HALF_UNDER25;ODDS_1ST_HALF_UNDER35;ODDS_2ND_HALF_OVER05;ODDS_2ND_HALF_OVER15;ODDS_2ND_HALF_OVER25;ODDS_2ND_HALF_OVER35;ODDS_2ND_HALF_UNDER05;ODDS_2ND_HALF_UNDER15;ODDS_2ND_HALF_UNDER25;ODDS_2ND_HALF_UNDER35;ODDS_BTTS_1ST_HALF_YES;ODDS_BTTS_1ST_HALF_NO;ODDS_BTTS_2ND_HALF_YES;ODDS_BTTS_2ND_HALF_NO;OVERALLGOALCOUNT;HT_GOALS_TEAM_A;HT_GOALS_TEAM_B;GOALS_2HG_TEAM_A;GOALS_2HG_TEAM_B;GOALCOUNT_2HG;HTGOALCOUNT;DATE_UNIX;WINNINGTEAM;NO_HOME_AWAY;BTTS_POTENTIAL;BTTS_FHG_POTENTIAL;BTTS_2HG_POTENTIAL;GOALTIMINGDISABLED;CORNER_TIMINGS_RECORDED;CARD_TIMINGS_RECORDED;TEAM_A_FH_CORNERS;TEAM_B_FH_CORNERS;TEAM_A_2H_CORNERS;TEAM_B_2H_CORNERS;CORNER_FH_COUNT;CORNER_2H_COUNT;TEAM_A_FH_CARDS;TEAM_B_FH_CARDS;TEAM_A_2H_CARDS;TEAM_B_2H_CARDS;TOTAL_FH_CARDS;TOTAL_2H_CARDS;ATTACKS_RECORDED;TEAM_A_DANGEROUS_ATTACKS;TEAM_B_DANGEROUS_ATTACKS;TEAM_A_ATTACKS;TEAM_B_ATTACKS;TEAM_A_XG;TEAM_B_XG;TOTAL_XG;TEAM_A_PENALTIES_WON;TEAM_B_PENALTIES_WON;TEAM_A_PENALTY_GOALS;TEAM_B_PENALTY_GOALS;TEAM_A_PENALTY_MISSED;TEAM_B_PENALTY_MISSED;PENS_RECORDED;GOAL_TIMINGS_RECORDED;TEAM_A_0_10_MIN_GOALS;TEAM_B_0_10_MIN_GOALS;TEAM_A_CORNERS_0_10_MIN;TEAM_B_CORNERS_0_10_MIN;TEAM_A_CARDS_0_10_MIN;TEAM_B_CARDS_0_10_MIN;THROWINS_RECORDED;TEAM_A_THROWINS;TEAM_B_THROWINS;FREEKICKS_RECORDED;TEAM_A_FREEKICKS;TEAM_B_FREEKICKS;GOALKICKS_RECORDED;TEAM_A_GOALKICKS;TEAM_B_GOALKICKS;O45_POTENTIAL;O35_POTENTIAL;O25_POTENTIAL;O15_POTENTIAL;O05_POTENTIAL;O15HT_POTENTIAL;O05HT_POTENTIAL;O05_2H_POTENTIAL;O15_2H_POTENTIAL;CORNERS_POTENTIAL;OFFSIDES_POTENTIAL;CARDS_POTENTIAL;AVG_POTENTIAL;HOME_NAME;AWAY_NAME;HOME_PPG;AWAY_PPG;PRE_MATCH_HOME_PPG;PRE_MATCH_AWAY_PPG;PRE_MATCH_TEAMA_OVERALL_PPG;PRE_MATCH_TEAMB_OVERALL_PPG;U45_POTENTIAL;U35_POTENTIAL;U25_POTENTIAL;U15_POTENTIAL;U05_POTENTIAL;CORNERS_O85_POTENTIAL;CORNERS_O95_POTENTIAL;CORNERS_O105_POTENTIAL;TEAM_A_XG_PREMATCH;TEAM_B_XG_PREMATCH;TOTAL_XG_PREMATCH;COMPETITION_ID;MATCHES_COMPLETED_MINIMUM;OVER05;OVER15;OVER25;OVER35;OVER45;OVER55;BTTS
3543191;1674;10063;2022/2023;complete;93724;1;-1;;22;0;1;1;1;3;4;-1;-1;1;4;0;0;0;3;4;4;4;7;-1;-1;52;48;1;4;2.25;3.0;3.1;0.0;0.0;2.08;0.0;0.0;0.0;0.0;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;1;2022-08-23;10063;0;0;0;0;0;1;1;0;1;1;2;1;3;0;1;1;3;1;4;1;0;0;0;0;0.46;1.04;1.5;0;1;0;0;0;1;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Chornomorets;Veres Rivne;0.63;1.6;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;14;Y;N;N;N;N;N;N
3543192;1681;1678;2022/2023;complete;93724;1;-1;7,30,53;73;3;1;4;3;7;10;-1;-1;0;2;0;0;9;4;5;6;14;10;-1;-1;50;50;0;2;2.5;3.2;2.7;1.01;1.29;2.0;3.24;6.1;12.0;3.4;1.76;1.32;1.1;1.73;2.03;0.0;0.0;0;0.0;1.53;1.3;1.47;3.3;2.21;3.15;3.0;2.5;2.85;0;0;0.0;1.44;1.75;2.2;2.9;0.0;2.7;2.05;1.62;1.38;1.87;6.5;2.56;1.95;10.5;2.0;0.0;0;1.38;2.8;6.8;15.0;2.9;1.41;1.09;1.01;1.23;2.12;4.7;10.0;3.8;1.67;1.17;1.04;0;0;0;0;4;2;0;1;1;2;2;2022-08-23;1681;0;0;0;0;0;1;1;3;4;0;3;7;3;0;1;0;1;1;1;1;66;72;89;92;1.99;1.43;3.42;1;1;1;1;0;0;1;1;1;0;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Zorya;Vorskla;2.14;0.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;15;Y;Y;Y;Y;N;N;Y
3543193;1699;1707;2022/2023;complete;93724;1;-1;36;;1;0;1;2;1;3;-1;-1;6;3;0;0;0;0;0;2;0;2;-1;-1;50;50;6;3;2.4;3.1;2.6;1.02;1.3;2.0;3.34;6.4;11.5;3.3;1.73;1.3;1.1;1.78;1.97;0.0;0.0;0;0.0;1.63;1.3;1.39;3.66;2.2;2.97;3.32;2.5;2.67;0;0;1.19;1.5;1.87;2.4;2.88;3.9;2.45;1.87;1.53;1.34;2.0;6.5;2.3;1.9;9.75;2.05;0.0;0;1.4;2.85;7.0;17.0;2.85;1.39;1.08;1.01;1.25;2.17;4.9;10.0;3.74;1.65;1.15;1.04;0;0;0;0;1;1;0;0;0;0;1;2022-08-23;1699;0;0;0;0;0;1;1;2;1;0;0;3;0;0;0;6;3;0;9;1;5;6;7;11;0.04;0.17;0.21;0;0;0;0;0;0;1;1;0;0;1;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Kolos Kovalivka;Hirnyk;1.75;0.88;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;15;Y;N;N;N;N;N;N
3543196;80;1722;2022/2023;complete;93724;1;-1;;;0;0;0;12;4;16;-1;-1;1;1;0;0;11;5;14;5;25;10;-1;-1;50;50;1;1;1.29;5.25;8.5;1.02;1.21;1.61;2.38;4.8;19.25;4.1;2.18;1.55;1.16;1.97;1.78;1.91;1.8;8;1.05;1.06;1.18;3.2;1.89;2.55;7.0;1.68;3.0;6.75;0;0;1.31;1.57;1.95;2.55;3.74;3.04;2.35;1.8;1.48;1.21;1.24;9.0;6.45;1.28;19.0;3.7;2.05;15;1.32;2.48;5.7;12.0;3.24;1.5;1.12;1.02;1.19;1.91;3.54;8.0;4.4;1.83;1.27;1.08;0;0;0;0;0;0;0;0;0;0;0;2022-08-23;-1;0;0;0;0;0;1;1;6;3;6;1;9;7;0;0;1;1;0;2;1;107;30;77;47;3.09;1.19;4.29;0;0;0;0;0;0;1;1;0;0;3;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Shakhtar Donetsk;Metalist 1925 Kharkiv;2.33;1.17;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;13;N;N;N;N;N;N;N
3543190;1701;687780;2022/2023;complete;93724;1;-1;41;37,66;1;2;3;12;1;13;-1;-1;4;4;0;0;5;4;7;3;12;7;-1;-1;50;50;4;4;2.21;3.05;2.93;1.06;1.33;2.03;3.5;6.5;9.8;3.05;1.7;1.26;1.08;1.84;1.9;0.0;0.0;0;0.0;1.31;1.29;1.76;2.77;2.18;4.12;2.46;2.5;3.72;0;0;1.33;1.6;2.0;2.6;3.5;3.1;2.25;1.75;1.45;1.28;1.72;6.5;2.94;1.78;9.75;2.25;0.0;0;1.41;2.9;7.2;17.0;2.8;1.38;1.08;1.01;1.25;2.2;4.9;13.0;3.64;1.63;1.16;1.04;0;0;0;0;3;1;1;0;1;1;2;2022-08-24;687780;0;0;0;0;0;1;1;3;1;9;0;4;9;1;1;3;3;2;6;1;82;39;84;81;1.69;1.01;2.7;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Rukh Vynnyky;Metal Kharkiv;1.14;1.22;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;13;Y;Y;Y;N;N;N;Y
3543195;1697;1682;2022/2023;complete;93724;7;-1;61;22,49;1;2;3;8;10;18;-1;-1;1;4;0;0;3;4;6;3;9;7;-1;-1;50;50;1;4;3.3;3.25;2.05;1.05;1.44;2.3;4.3;8.5;8.5;2.8;1.55;1.2;1.05;2.02;1.74;0.0;0.0;0;0.0;1.67;1.33;1.32;4.14;2.05;2.97;3.74;2.33;2.62;0;0;1.33;1.57;1.95;2.55;3.34;3.15;2.35;1.8;1.48;1.3;3.36;7.0;1.57;2.35;8.5;1.78;0.0;0;1.49;3.3;8.6;34.0;2.5;1.3;1.05;1.01;1.32;2.48;5.2;13.0;3.2;1.5;1.12;1.02;0;0;0;0;3;0;1;1;1;2;1;2022-08-25;1682;0;0;0;0;0;1;1;3;3;5;7;6;12;0;2;1;2;2;3;1;58;75;76;98;1.2;1.27;2.47;0;1;0;1;0;0;1;1;0;0;1;0;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Inhulets;Oleksandria;1.29;1.33;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;13;Y;Y;Y;N;N;N;Y
3543197;1722;1674;2022/2023;complete;93724;2;-1;;;0;0;0;4;8;12;-1;-1;0;1;0;0;0;5;3;6;3;11;-1;-1;50;50;0;1;2.1;3.0;3.3;1.05;1.33;2.18;4.0;8.0;8.0;3.0;1.67;1.2;1.05;1.85;1.85;0.0;0.0;0;0.0;1.3;1.3;1.57;2.9;2.0;3.88;2.62;2.3;3.5;0;0;0.0;1.5;1.82;2.35;0.0;0.0;2.5;1.9;1.55;0.0;1.51;7.0;3.62;1.85;7.75;2.25;0.0;0;1.4;3.2;8.0;21.0;2.75;1.3;1.06;1.0;1.27;2.25;5.0;12.5;3.4;1.55;1.15;1.03;0;0;0;0;0;0;0;0;0;0;0;2022-08-27;-1;0;0;0;0;0;1;1;1;5;3;3;6;6;0;0;0;1;0;1;1;33;65;85;101;0.44;1.52;1.96;1;0;0;0;1;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Metalist 1925 Kharkiv;Chornomorets;1.38;0.83;0.0;0.0;1.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;14;N;N;N;N;N;N;N
3543202;1723;1681;2022/2023;complete;93724;2;-1;12,49;8,58,90;2;3;5;-1;-1;-1;-1;-1;3;3;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;5.3;3.9;1.65;1.04;1.26;1.88;2.98;5.4;11.75;3.52;1.93;1.34;1.12;1.8;1.9;0.0;0.0;0;0.0;1.95;1.25;1.17;5.0;2.2;2.15;4.6;2.6;2.0;0;0;1.26;1.44;1.75;2.2;2.9;3.7;2.7;2.05;1.62;1.38;5.0;8.5;1.31;2.75;12.0;1.52;0.0;0;1.38;2.65;6.0;13.0;2.9;1.42;1.09;1.01;1.21;2.07;4.14;9.95;3.95;1.73;1.19;1.03;0;0;0;0;5;1;1;1;2;3;2;2022-08-27;1681;0;0;0;0;0;-1;1;-1;-1;-1;-1;-1;-1;0;1;3;2;1;5;-1;0;0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;1;1;0;1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Lviv;Zorya;0.67;1.63;0.0;0.0;0.0;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;14;Y;Y;Y;Y;Y;N;Y
3543200;1678;10063;2022/2023;complete;93724;2;-1;21;80,90;1;2;3;9;5;14;-1;-1;5;1;0;0;3;6;7;6;10;12;-1;-1;49;51;5;1;1.7;3.3;4.5;0.0;0.0;1.9;0.0;0.0;0.0;0.0;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;3;1;0;0;2;2;1;2022-08-27;10063;0;0;0;0;0;1;1;5;0;4;5;5;9;1;1;4;0;2;4;1;0;0;0;0;1.28;1.52;2.8;0;0;0;0;0;0;1;1;0;0;1;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;50;0;50;0;0;3.0;0;4.0;0.5;Vorskla;Veres Rivne;1.57;1.6;0.0;3.0;0.0;3.0;50;50;50;50;0;0;0;0;0.0;1.04;1.04;8222;15;Y;Y;Y;N;N;N;Y
3543203;123;1721;2022/2023;complete;93724;2;-1;;43,55,90;0;3;3;3;3;6;-1;-1;4;3;0;0;4;8;3;2;7;10;-1;-1;50;50;4;3;1.36;4.6;6.75;1.01;1.11;1.65;1.98;3.15;27.0;5.55;2.1;1.74;1.31;1.61;2.25;0.0;0.0;0;0.0;1.11;1.15;2.55;1.86;2.8;5.85;1.67;3.3;5.65;0;0;1.26;1.44;1.9;2.2;2.9;3.7;2.7;1.9;1.62;1.38;1.29;8.5;5.45;1.35;27.0;2.95;0.0;0;1.22;2.08;4.3;9.5;4.0;1.74;1.2;1.04;1.12;1.61;2.85;6.45;5.8;2.23;1.39;1.09;0;0;0;0;3;0;1;0;2;2;1;2022-08-28;1721;0;0;0;0;0;1;1;2;2;1;1;4;2;3;2;1;1;5;2;1;80;53;82;64;1.3;1.57;2.87;0;0;0;0;0;0;1;1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0.0;0;0.0;0.0;Dynamo Kyiv;Dnipro-1;2.0;2.29;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;8222;14;Y;Y;Y;N;N;N;N
